date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.1,15.3,14.28,14.4,4450
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.1,14.4,13.1,13.8,7090
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,14.4,13.1,14.2,5640
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14,14.9,13.6,14.6,5610
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.75,15.6,13.8,15.6,10340
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16,16.1,13.5,13.8,17760
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,14.2,13.8,14,4210
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,13.8,12.7,13.2,8460
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.79,13.79,12.7,12.9,2440
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.1,15.4,12.5,12.6,3650
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.6,13.1,12.6,12.8,4140
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.8,12.8,12,12.1,2040
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.5,12.6,11.1,11.2,4780
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.9,10.9,8.45,9.76,13280
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.9,10.4,9.8,10,2970
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.3,10.3,9,9.72,1110
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.91,10,9.2,9.77,600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.6,9.77,9.4,9.7,1870
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10,10,8.62,9,6050
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,9.5,8.5,8.65,6440
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.5,8.58,8,8,2090
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8,7.23,8,4460
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8,7.2,8,3800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.75,7.75,7.2,7.5,3520
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.44,8.23,7.2,7.77,5260
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.8,6,6.31,20500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.2,6.5,5.84,5.92,5260
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.21,6.21,5.33,5.84,9100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.33,5.2,5.78,14630
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.8,8.4,5.51,5.89,18290
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.1,6.41,5.33,5.35,10330
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.2,6.1,4.82,5,8850
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.12,5.97,4.95,5.47,8870
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.97,5,5.68,17590
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.5,6.5,5.5,6.5,3740
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.45,14.4,6.2,9.91,673480
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.5,13,9.6,10.3,111000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.5,16.799999,10.5,12.1,187760
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.5,11.5,8.46,8.5,34450
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.27,8.86,8.2,8.39,14070
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.45,8.57,5.97,5.97,23970
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6,6.6,6,6.27,14920
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.3,5.63,6.17,19940
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.4,8,6.13,7.78,20560
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.52,7.52,6,6.78,13500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.78,7.31,6.52,6.94,13480
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.9,7.2,6.19,6.31,16650
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.4,6.5,5.82,6.13,22180
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.26,6.81,6.1,6.73,5150
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7,6.3,6.3,4340
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.68,5.76,6.09,7010
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.94,6.5,5.91,6.37,3110
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.15,6.29,6,6,3880
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.36,6.55,6,6.14,2270
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.34,6.97,6,6.53,11590
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.69,6.69,6,6.01,5000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.1,6.29,5.6,5.8,7800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.92,6.15,5.78,5.86,2590
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.76,6.22,5.58,5.7,6300
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.08,6.08,5.57,5.68,2130
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.1,6.18,5.6,5.65,6200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.8,5.8,5.31,5.53,5410
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.3,5.6,4.57,4.99,9150
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.3,6.3,4.9,4.9,15840
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.47,5.47,4.01,4.24,35230
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.11,4.31,3.95,3.96,21990
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.2,4.41,3.8,3.8,28910
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.95,8.3,3.8,6.17,475650
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.7,8.09,5.5,5.87,304640
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.84,7.09,5.5,6.4,86750
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.89,7.34,5.8,6.95,77580
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.4,7.4,4.61,6,105720
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.66,3.2,1.95,2.07,656220
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.1,2.13,1.9,1.95,245520
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.99,1.99,1.55,1.6,153150
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.68,1.79,1.55,1.62,124560
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.68,1.7,1.55,1.56,73580
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.59,1.8,1.44,1.67,205600
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.57,1.65,1.51,1.58,98140
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.57,1.64,1.54,1.6,54900
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.62,1.68,1.54,1.61,88650
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.67,3.2,1.6,2.08,1749740
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.05,2.11,1.8,1.95,176020
