date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.6,12.6,10.75,10.88,24949600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.75,11.029,9.6,10.57,26263900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.77,11.46,10.535,10.76,21026700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.6,10.65,9.77,10.21,16222000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.17,10.94,9.12,10.725,30910800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.52,11.06,10.33,10.55,18099800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.18,10.965,9.76,9.985,31181900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.68,11.35,8.88,9.26,37395900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.01,9.09,8.075,8.14,27866200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.9,8.26,7.35,7.65,28821900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,7.6,7.23,7.36,15470800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.42,7.64,6.76,6.88,21855400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.89,6.95,6.41,6.87,21452300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.73,7.35,6.59,7.1,20878800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.84,7.38,6.705,7.09,18681600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.44,7.72,6.98,6.99,17561700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.06,7.39,6.95,7.305,11454000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.7,8.26,7.6,8.01,22815400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.14,9.24,7.975,8.53,32376000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.66,9.01,8.213,8.42,22805400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.14,8.98,8.04,8.05,26492400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.1,8.52,7.68,8.36,28283300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.61,8.03,8.28,16862400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.26,8.37,7.68,7.76,19708700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,8.72,7.64,8.7,20793100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.76,9.34,8.461,9.31,21592800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.93,10.54,9.53,10.5,36373100
