date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.9,11.18,10.9,11.02,12400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.9,10.9,10.9,10.9,400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.97,11.29,10.97,11.29,4600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.3,11.55,11.3,11.55,6200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.63,11.69,11.63,11.687,1900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.755,12,11.65,12,10300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.03,11.966,12,21000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.91,12.052,11.91,11.99,4300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.05,11.955,11.957,17700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,12.05,11.97,11.974,14400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.98,12,11.92,11.99,18800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.898,11.96,11.898,11.96,1300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,12,11.99,11.99,14500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.05,12.05,11.98,11.98,9500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,11.99,11.885,11.89,1100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,11.99,11.98,11.98,5700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.881,11.97,11.881,11.94,9300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.98,11.98,11.86,11.98,64200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.98,12.05,11.87,12.05,56100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.985,12.1,11.985,12.1,6300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.02,12.05,11.9,11.9,16900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12,11.85,11.99,24800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,11.99,11.98,11.98,400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.86,12.04,11.84,12.04,1100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.85,12.06,11.8,11.9,13400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,11.9,11.9,11.9,400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.89,11.919,11.89,11.919,700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.919,11.919,11.919,11.919,0
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.031,12.031,11.9,11.9,3100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.978,11.978,11.935,11.97,7400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12,11.99,11.99,27800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,11.99,11.99,11.99,0
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,11.99,11.91,11.91,17500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,11.99,11.9,11.9,44800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.93,11.985,11.93,11.98,900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.85,12.04,11.85,12.03,7600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.98,11.98,11.98,11.98,200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,11.99,11.88,11.97,2300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.93,11.93,11.89,11.89,3400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.89,11.89,11.75,11.76,25900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,11.9,11.75,11.75,3600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.82,11.82,11.82,11.82,400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,11.9,11.83,11.84,1800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.75,11.8,11.75,11.8,2200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.829,11.829,11.76,11.76,1300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.8,11.8,11.79,11.8,1500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.79,11.793,11.75,11.75,9100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.75,11.775,11.7,11.75,32800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.717,11.717,11.7,11.71,4000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.71,11.72,11.71,11.72,800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.72,11.76,11.7,11.7,9600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.7,11.79,11.7,11.79,14800
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.717,11.83,11.717,11.76,12900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.76,11.79,11.704,11.71,7700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.74,11.75,11.739,11.75,1500
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.865,12.046,11.82,11.82,11900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.795,11.8,11.75,11.8,2700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.8,11.813,11.73,11.74,5900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.74,11.74,11.74,11.74,400
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.8,11.84,11.8,11.84,4000
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.81,11.88,11.81,11.85,2200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.88,11.88,11.77,11.77,5300
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.91,11.91,11.91,11.91,800
