date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.720001,50.880001,49.57,50.18,687200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.59,49.77,48.91,48.93,1087100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.169998,49.169998,48.16,48.290001,1050300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.009998,48.759998,47.77,48.220001,1240800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.509998,52.139999,49.060001,51.830002,2046400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.200001,51.43,49.240002,49.34,1507900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.07,49.73,49.009998,49.380001,1601500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.830002,51.169998,49.790001,50.77,1521500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.970001,51.48,49.810001,50.080002,778200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.009998,50.349998,49.650002,49.759998,1246400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.75,50.310001,48.740002,50.130001,950300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.57,50.630001,49.650002,50.200001,1172600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.34,50.470001,48.950001,49.900002,1200500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.880001,50.779999,49.880001,50.759998,1090200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.619999,51.720001,50.950001,51.189999,1995700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.84,52.209999,51.48,51.799999,2471600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.240002,52.369999,51.419998,51.84,1065900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.189999,52.509998,51.360001,51.75,957200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.639999,52.310001,51.119999,52.279999,698900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.98,53.130001,51.82,52.919998,926500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.900002,53.490002,52.220001,52.220001,958000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.419998,52.849998,51.459999,51.869999,1013100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.330002,51.560001,50.52,51.060001,1040100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.150002,50.57,49.599998,50.25,894500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.18,50.959999,50.18,50.950001,655800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51,53.16,50.509998,53.099998,1385300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.799999,53.889999,52.619999,53.799999,1098200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.779999,54.41,53.75,54.110001,813000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.880001,54.790001,53.880001,54.18,733700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.889999,53.119999,51.709999,52.400002,823000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.740002,53.84,52.330002,53.380001,972500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.869999,55.419998,53.439999,55.130001,805500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.119999,56.080002,54.990002,55.029999,790800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.119999,55.139999,53.959999,54.830002,733000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.669998,54.75,53.07,53.66,847700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.209999,54.029999,52.709999,53.869999,870000
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.869999,54.900002,53.549999,54.689999,680000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.240002,55.110001,54.240002,54.799999,435000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.139999,55.200001,54.240002,54.57,452100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.98,54.380001,53.779999,54.189999,462100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.450001,54.450001,53.540001,54,638300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54,54.639999,53.209999,53.599998,1043100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.060001,54.450001,52.779999,53.049999,791300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.759998,54.380001,52.759998,53.07,776000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.32,53.919998,52.529999,52.639999,951700
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.099998,54.029999,53.09,53.650002,706200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.029999,54.369999,53.73,54.099998,827800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.720001,53.720001,51.630001,52.48,1018100
