date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.92,10.92,10.92,10.92,500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.93,10.93,10.93,10.93,1200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.98,10.98,10.98,10.98,400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.95,10.95,10.95,10.95,100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.95,10.95,10.95,10.95,800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.89,10.89,10.89,10.89,700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.92,10.92,10.91,10.91,3400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.94,10.94,10.94,10.94,300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.94,10.98,10.94,10.97,6100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,11,11,900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.96,10.96,10.96,10.96,300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.96,10.96,10.96,10.96,400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,11,11,100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.02,11.02,11.02,600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.02,11.02,11.02,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.02,11.02,11.02,0
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.02,11.02,11.02,300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.17,11.02,11.17,8900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.98,10.98,10.97,10.97,2500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.18,11.18,11.18,11.18,600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,10.96,11,282800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11.01,10.99,11.01,142400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.996,10.996,10.99,10.99,2000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,11,11,100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.1,11.1,11.1,11.1,200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,11,11,300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,11,11,300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.1,11.1,11.1,11.1,300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.59,11.02,11.59,300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,11,11,600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.08,11.32,11.08,11.32,3700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.32,11.32,11.32,11.32,0
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.32,11.32,11.32,11.32,0
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.32,11.32,11.32,11.32,0
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.03,11.03,11.03,11.03,2000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.03,11.03,11.03,11.03,0
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.6,11.6,11.08,11.08,600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.08,11.08,11.08,11.08,0
