date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.84,6.71,5.73,6.24,1465600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.18,6.18,5.785,5.85,1586800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.88,5.955,5.59,5.71,1025500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.67,5.765,5.125,5.17,932200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.13,5.7,5.061,5.69,943000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.58,5.58,5.14,5.25,1177300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.23,5.489,5.15,5.33,2119000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.23,5.41,5.04,5.34,1626600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.37,5.5,4.9,5.06,3729600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5,5,4.68,4.72,1985700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.62,4.9,4.57,4.88,2813000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.94,4.94,4.53,4.61,1676200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.67,4.72,4.56,4.59,1640300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.6,4.75,4.55,4.7,1123600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.77,4.85,4.46,4.63,1071700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.73,4.73,4.43,4.43,690900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.47,4.55,4.345,4.43,830700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.49,4.5,4.3,4.375,1173300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.37,4.59,4.28,4.54,2319700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.54,4.34,4.43,913200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.43,4.67,4.295,4.43,1939100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.43,4.6,4.365,4.48,891100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.38,4.85,4.3,4.8,1743900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.79,5.73,4.62,5.7,3083700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.63,6.41,5.49,6.03,2992800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.01,6.2,5.7,5.95,1770200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.29,6.55,5.962,6.38,1367900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.4,6.617,5.715,5.88,1660900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.86,6.15,5.66,5.79,2008400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.62,5.66,5.37,5.46,1027900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.55,9.415,7.95,8.7,10747800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.75,9.58,8.48,8.88,4044600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.85,9.36,8.64,9.02,1689400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.82,9.438,8.245,8.59,2848900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.48,8.832,8.16,8.56,2268300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.46,10.26,8.31,8.95,14258400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.85,8.89,7.28,7.44,5155800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.25,7.84,7.18,7.5,2965700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.85,7.987,7.4,7.49,2459500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.36,7.63,7.13,7.34,2165300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.57,7.72,6.87,7,3407400
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.05,7.375,6.99,7.23,1951600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.28,7.44,7,7.05,2491800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.95,7.31,6.9,7.03,1493000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.12,7.13,6.745,6.89,1928800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.95,7.05,6.69,6.72,1235300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.78,7.01,6.505,6.59,1381400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.61,6.705,6.47,6.5,1537100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.57,6.57,6.19,6.35,1327500
