date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.389999,79.75,78.449997,79.32,463200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.470001,78.470001,76.660004,76.699997,304300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.370003,76.970001,75.709999,76.889999,344700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75,76.589996,73.620003,75.370003,744600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.389999,76.989998,75.139999,76.75,364800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.349998,77.809998,75.910004,77.510002,324400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.589996,77.940002,76.660004,77.790001,327300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.449997,77.910004,76.879997,77.57,259600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.07,78.769997,77.040001,77.389999,296200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.690002,77.699997,75.720001,77.669998,438200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.830002,77.279999,76.029999,76.989998,363600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.489998,77.739998,76.18,77.5,366800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.790001,78.410004,76.839996,78.400002,263100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.599998,79.360001,78.279999,79.349998,276900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.949997,80.660004,78.839996,79.550003,301100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.870003,80.269997,78.779999,78.830002,297200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.269997,80.029999,78.169998,78.389999,458500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.489998,80.830002,78.150002,80.470001,751800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.32,81.330002,79.769997,81.239998,434800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.230003,81.769997,80.900002,81.389999,457200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.129997,81.559998,79.25,79.260002,597700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.580002,82.25,79.199997,82.07,854100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.959999,81.57,73.510002,81.360001,2018900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.68,80.68,76.760002,77.580002,852100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.489998,78.290001,76.940002,77.580002,733200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.550003,78.150002,76.540001,77.150002,447900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.650002,78.580002,76.529999,78.07,779100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.540001,80.330002,78.5,80.050003,668100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.379997,81.669998,80.379997,81.25,534800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.57,80.830002,78.830002,80.150002,506200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.879997,81.599998,79.809998,81.489998,373800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.760002,82.370003,81.57,81.730003,311000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.779999,81.669998,80.5,81.089996,572400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.580002,81.239998,80.010002,80.029999,505200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.019997,81.510002,79.900002,81.5,394800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.669998,82.349998,81.309998,81.949997,312200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.220001,83.150002,81.779999,82.730003,500300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.339996,82.400002,80.75,81.07,431800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.830002,82.019997,81.150002,81.650002,464800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.720001,82.099998,80.330002,81.690002,403500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.080002,82.889999,81.75,82.690002,411400
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.489998,82.489998,81.099998,81.199997,342800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.129997,81.129997,79.870003,79.970001,380800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.779999,80.720001,79.239998,79.849998,291700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.419998,80.629997,79.82,80.410004,457300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.389999,80.940002,80.120003,80.68,251400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.18,81.419998,80.660004,80.690002,361100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.540001,80.910004,79.730003,79.800003,429100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.940002,80.290001,79.169998,80.099998,445100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.260002,80.849998,79.959999,80.32,427900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.529999,80.529999,79.160004,79.519997,485800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.290001,80.440002,79.290001,79.730003,2392200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.230003,79.360001,76.480003,76.830002,561600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.830002,77.870003,76.830002,77.330002,326800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.510002,78.18,77.190002,77.970001,307400
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.169998,79.050003,77.690002,78.75,313100
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.989998,78.07,76.910004,77.529999,387100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.470001,78.900002,77.470001,78.059998,411200
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.68,79.230003,78.440002,78.919998,595100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.400002,80.419998,79.25,79.620003,635800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.870003,81.309998,79.730003,81.18,479500
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),81.220001,81.32,80.279999,81.040001,483100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),79.839996,79.839996,76.57,77.720001,448700
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),77.690002,77.769997,75.910004,76.410004,400600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),77.459999,77.529999,74.949997,75.230003,444900
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.900002,76.089996,74.860001,75.470001,560800
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.839996,76.830002,75.470001,76.379997,436900
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),76.769997,77.019997,75.959999,76.910004,385200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.419998,75.769997,74.870003,75.279999,361600
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.879997,76.110001,74.870003,75.440002,343500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.690002,75.080002,74.290001,74.800003,490400
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.440002,75.599998,73.910004,74.209999,689500
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.949997,75.230003,73.040001,74.989998,531100
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.629997,75.830002,74.82,75,326800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.57,75.660004,74.949997,75.540001,340600
