date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.709999,17.190001,16.709999,17.110001,745100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.99,17.15,16.59,16.66,918500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.76,17.190001,16.690001,17.110001,829300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.58,14.97,14.44,14.57,7577500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.69,15.11,14.42,15.11,5637900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.04,15.4,14.78,15.29,1814100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.42,15.5,14.83,15.09,1860500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15,14.6,14.71,1547100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.94,14.94,14.31,14.49,1369400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.5,14.51,14.11,14.36,1839500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.27,14.7,14.06,14.58,1313400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.65,14.73,14.21,14.7,1243300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.77,14.78,14.49,14.56,2377900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.63,15.17,14.48,15.15,1403100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.3,15.35,14.76,14.93,1359500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.06,15.14,14.6,14.6,977300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.75,14.82,14.4,14.53,966400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.5,14.58,14.25,14.29,943800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.36,14.54,14.26,14.45,1317300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.41,14.83,14.33,14.77,1125900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.71,14.84,14.33,14.4,1316900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.51,14.6,14.34,14.43,670300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.43,14.43,13.61,13.62,1326800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.45,13.59,13.32,13.39,1155100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.35,13.76,13.23,13.75,1040600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.71,13.71,13.31,13.35,962500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.32,13.5,13.12,13.37,998400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.43,13.64,13.3,13.64,1522600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.6,13.77,13.52,13.64,1115700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.32,13.61,13.13,13.18,1555700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.34,13.53,13.28,13.48,993900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.56,13.96,13.56,13.89,1058200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.86,14.09,13.71,14,1136600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14,14.35,13.66,13.79,1325200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.77,13.9,13.57,13.71,739600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.7,14.02,13.49,13.9,1171400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.91,14.15,13.7,14.04,683500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.04,14.29,13.92,14.18,1070800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.21,14.4,14.16,14.35,1481900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.27,14.73,14.16,14.56,1731600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.290001,16.5,15.28,16.030001,4155100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.200001,17.5,16.18,17.01,3673800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.23,17.389999,16.559999,16.690001,1549100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.700001,16.799999,16.030001,16.27,1149200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.41,16.51,15.75,15.86,1005400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.290001,16.75,16.049999,16.639999,1080000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.92,17.040001,16.18,16.25,1066200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.24,16.41,16.049999,16.1,1015300
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.24,16.35,16.1,16.200001,1112800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.440001,16.950001,16.35,16.620001,1356600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.02,17.02,16.040001,16.190001,1320500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.1,16.35,15.98,16.07,3409500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.040001,16.389999,15.75,16.08,1295300
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.049999,16.42,15.85,16.389999,876600
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.33,16.93,16.26,16.91,895000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.99,17.43,16.610001,16.620001,1868600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.6,16.6,15.71,15.73,946700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.77,16.030001,15.67,15.86,1085000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16,16.139999,15.73,15.75,828200
