date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.76,3.89,3.72,3.77,357800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,3.75,3.57,3.57,361900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.58,3.58,3.47,3.47,400100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.45,3.31,3.39,497500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.4,3.64,3.32,3.61,620500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.59,3.68,3.48,3.61,436200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.61,3.66,3.52,3.55,258400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.54,3.42,3.47,288400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.51,3.59,3.45,3.47,270300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.48,3.32,3.36,575200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.36,3.27,3.35,301500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.37,3.38,3.19,3.28,329100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.31,3.19,3.26,341200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.27,3.32,3.22,3.28,278800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.29,3.32,3.24,3.28,151700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.37,3.19,3.2,321100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.26,3.18,3.24,235300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.3,3.22,3.27,135100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.35,3.24,3.35,190300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.39,3.39,3.11,3.14,1130000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.15,2.95,2.95,909600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.09,2.92,3.04,484300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.16,2.91,3.1,770700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.1,2.94,2.98,473800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.09,2.93,2.96,645600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.99,2.91,2.94,269900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,3.03,2.89,3.02,320700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.2,3.02,3.18,311900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.35,3.2,3.29,480700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.21,3.08,3.08,447500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.11,3.24,3.11,3.2,313700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.3,3.17,3.27,272000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.25,3.35,3.22,3.31,241300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.34,3.22,3.29,317200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.31,3.23,3.25,157100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.25,3.31,3.24,3.24,307700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.29,3.2,3.28,220500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.44,3.25,3.31,382400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.33,3.58,3.33,3.53,438400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.55,3.65,3.51,3.54,268900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.6,3.64,3.54,3.54,272400
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.55,3.74,3.55,3.67,400400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.66,3.67,3.53,3.53,312500
