date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.900002,71.589996,67.589996,69.019997,136200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.129997,68.129997,63.830002,63.849998,99800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.220001,64.43,61.919998,63.799999,76800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.09,66.260002,62.450001,62.700001,71000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.700001,64.760002,62.009998,64.739998,63400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.220001,65.029999,61.669998,61.919998,60100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.25,63.240002,61.02,63.09,72800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.41,62.75,60.84,62.16,83700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.099998,63.099998,60.360001,60.619999,73500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60,60.950001,59.5,60.59,108800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.529999,62.119999,59.529999,60.18,89700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.16,62.560001,60.18,61,76800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.619999,63.389999,60.380001,62.93,64500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.759998,65.32,63.740002,64.879997,54700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.07,66.07,62.490002,62.549999,43200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.509998,63.509998,61.119999,62.610001,70100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.290001,64.739998,61.470001,63.419998,60500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.349998,63.459999,62.099998,62.259998,72100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.630001,64.779999,62,64.699997,87000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.059998,64.489998,62.299999,62.860001,53900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.439999,63.919998,60.830002,60.889999,138800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.959999,64.440002,59.77,63.049999,67900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.48,62.560001,60.169998,62.25,51100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.810001,62.52,57.610001,62.290001,145300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.66,63.119999,60.560001,60.889999,51900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.299999,62.490002,60.259998,61.119999,87500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.450001,63.450001,60.419998,62.5,125200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.709999,67.040001,62.709999,65.82,69800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.809998,71.209999,66.809998,69.419998,93900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.300003,66.300003,61.950001,62.869999,76600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.010002,66.389999,63,65.910004,73800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.330002,66.970001,64.699997,65.529999,72000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.720001,64.720001,62.610001,62.619999,58700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.290001,62.18,60.349998,62.18,78600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.200001,65.470001,62.23,64.379997,67700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.660004,65.279999,62.790001,64.010002,107900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.91,64.889999,62.810001,64.43,122500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.110001,66.190002,63.43,64.470001,62000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.959999,68.209999,64.959999,67.720001,82300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.389999,68.010002,66.07,66.879997,107800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.900002,69.230003,66.790001,67.339996,75800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.989998,69.110001,66.269997,67.690002,77100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.599998,65.589996,62.029999,64.18,283200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.52,64.57,62.459999,62.549999,160500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61,63.130001,59.290001,60.75,212000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.959999,63.740002,60.689999,62.299999,194100
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.879997,74.099998,64.239998,66.5,496700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.690002,65.860001,61.77,65.769997,192600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.5,65.959999,63.009998,63.169998,147100
