date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.59,1.695,1.545,1.69,1262700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.68,1.68,1.59,1.63,508900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.64,1.64,1.55,1.55,507500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.55,1.56,1.46,1.51,608700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.65,1.47,1.59,906300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.63,1.55,1.59,477100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.62,1.69,1.57,1.67,375300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.67,1.7,1.6,1.69,308400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.74,1.62,1.73,392100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.73,1.64,1.665,346800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.63,1.68,1.58,1.63,405600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.62,1.7,1.6,1.68,423600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.67,1.67,1.62,1.63,250700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.65,1.6,1.63,220100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.63,1.638,1.59,1.61,250500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.65,1.52,1.53,524000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.56,1.52,1.53,166500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.59,1.52,1.59,205100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.65,1.55,1.61,300200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.63,1.63,1.51,1.57,255300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.6,1.511,1.53,144600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.54,1.49,1.53,222000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.53,1.46,1.48,234400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.48,1.44,1.45,142300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.51,1.45,1.46,130000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.47,1.43,1.44,134600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.5,1.43,1.46,215700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.56,1.48,1.52,187400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.57,1.481,1.53,142300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.38,1.46,1.38,1.41,452400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.49,1.42,1.49,159400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.53,1.46,1.5,223200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.53,1.46,1.47,154000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.5,1.46,1.47,105300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.48,1.44,1.45,81000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.5,1.44,1.48,135500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.52,1.43,1.5,1010300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.65,1.46,1.65,516300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.66,2.44,1.66,2.25,9623300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.18,2.74,2.17,2.54,6837600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.44,2.62,2.39,2.45,2029500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.42,2.78,2.36,2.65,2582800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.855,2.55,2.74,2458400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.851,2.69,2.72,2395000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.78,2.79,2.5,2.7,1256200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.73,2.44,2.56,1185200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.67,2.49,2.5,570200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.57,2.46,2.51,1686300
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.02,2.199,1.905,2.15,2039400
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.12,2.165,2.07,2.1,665400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.12,1.93,2.06,1089700
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.155,2.02,2.07,491600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.1,1.955,2.02,982600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.235,1.98,2.18,916500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.2,2.28,2.12,2.27,651100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.23,2.31,2.21,2.24,668000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.21,2.21,2.1,2.11,287800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.155,2.09,2.14,358600
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.16,1.99,2.11,645900
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.12,2.2,2.08,2.19,590300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.2,2.3,2.17,2.18,2855000
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.19,2.2,2.08,2.15,319500
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.15,2.15,2.07,2.14,326100
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.13,2.18,2.08,2.15,524900
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.18,2.18,2.055,2.06,267300
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.07,2.14,2.05,2.06,268100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.09,2.1,2.05,2.06,198300
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.06,2.08,2,2.03,196000
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.02,2.11,1.8,2.1,2571400
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.1,2.16,2.06,2.15,1012300
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.14,2.26,2.07,2.15,923200
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.14,2.14,1.94,1.97,382900
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.99,1.99,1.86,1.86,335800
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.84,1.86,1.76,1.76,585200
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.77,1.788,1.72,1.73,198800
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.72,1.75,1.635,1.67,505600
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.76,1.762,1.67,1.67,257900
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.67,1.73,1.64,1.68,290200
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.68,1.7,1.62,1.63,350900
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.61,1.64,1.58,1.6,286300
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.6,1.65,1.59,1.59,249200
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.6,1.65,1.58,1.61,399600
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.63,1.66,1.59,1.63,382000
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.25,5.85,2.78,5.13,206720400
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.4,4.74,4.07,4.5,15831500
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.62,5.06,4.43,4.43,11087900
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.89,4.94,4.27,4.37,5076000
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.49,4.49,4.07,4.07,4440600
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.11,4.205,3.79,4.19,40523300
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.722,2.81,2.01,2.04,41562500
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.03,2.05,1.85,1.98,12154800
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.95,2.01,1.88,1.89,6114500
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.91,2.01,1.861,1.94,4577300
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.93,2.01,1.93,1.96,3922200
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.98,2.01,1.93,2,3288700
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.95,1.97,1.85,1.89,3538600
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.91,1.95,1.85,1.92,1662900
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.93,1.95,1.855,1.87,1547500
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.86,1.91,1.84,1.88,1434700
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.9,1.9,1.78,1.83,1238000
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.82,1.85,1.75,1.75,1070600
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.92,1.93,1.774,1.79,2243600
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.76,1.78,1.69,1.75,2788000
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.76,1.77,1.68,1.75,1651600
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.74,1.84,1.7,1.7,953600
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.74,1.8,1.69,1.75,1247500
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.75,1.79,1.66,1.68,1619800
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.69,1.73,1.64,1.67,2103400
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.69,1.69,1.58,1.67,3511800
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.66,1.69,1.62,1.64,1176600
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.65,1.69,1.61,1.63,2255500
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.61,1.63,1.475,1.49,6095600
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.51,1.54,1.45,1.49,4740800
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.5,1.53,1.43,1.46,1501600
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.45,1.485,1.375,1.38,1635300
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.37,1.4,1.33,1.37,1671300
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.42,1.28,1.29,2201500
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.29,1.31,1.26,1.28,2120000
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.26,1.35,1.26,1.29,2245900
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.29,1.33,1.28,1.33,1257400
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.36,1.36,1.2,1.21,2443200
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.21,1.22,1.13,1.21,3501500
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.22,1.29,1.21,1.26,1407500
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.27,1.27,1.17,1.22,2156600
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.21,1.36,1.21,1.33,1726100
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.32,1.39,1.28,1.32,1468300
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.32,1.36,1.3,1.3,353500
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.3,1.31,1.27,1.29,517600
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.3,1.39,1.29,1.3,1145200
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.29,1.365,1.29,1.35,535800
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.35,1.38,1.28,1.31,873200
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.33,1.42,1.32,1.4,1174700
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.48,1.38,1.42,2814300
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.46,1.365,1.41,660700
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.43,1.52,1.41,1.51,858500
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.505,1.4,1.44,456700
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.43,1.47,1.36,1.36,615300
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.37,1.38,1.32,1.38,426800
Mon Jul 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.39,1.46,1.38,1.45,361800
Tue Jul 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.48,1.4,1.44,715700
Wed Jul 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.46,1.47,1.44,1.456,39891
