date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.76,2.78,2.66,2.68,62600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.68,2.64,2.67,51700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.69,2.66,2.69,29900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.69,2.69,2.63,2.65,49000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.68,2.63,2.66,59900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.66,2.66,2.62,2.63,73800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.63,2.65,2.61,2.63,51300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.62,2.64,2.6,2.64,69500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.66,2.63,2.64,68500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.65,2.61,2.65,94200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.65,2.61,2.61,21900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.62,2.63,2.57,2.57,33500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,2.62,2.59,2.6,11500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.59,2.62,2.58,2.59,42000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,2.61,2.58,2.6,33100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.59,2.62,2.58,2.62,17700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.63,2.59,2.63,40200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.67,2.6,2.67,68300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.66,2.72,2.64,2.71,96300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.71,2.68,2.71,24300
