date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.24,16.43,14.93,16.200001,29400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.450001,16.450001,15,15.18,54700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.75,16,15.74,15.9,24100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.3,15.9,14.87,15.75,86100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.24,15.24,14.62,14.87,64800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.86,14.9,14.69,14.8,55200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.8,15.06,14.32,15.06,78900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.5,14.5,13.98,14.35,69300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.6,14.7,14.25,14.51,58200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.41,13.41,12.75,12.99,190800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.4,12.7,12.21,12.67,61700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.67,12.67,12.25,12.53,106000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.08,13.53,11.935,13.37,81400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.79,13.28,12.4,13.28,93000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.15,13,10.66,12.89,532500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,12.4,11.4,11.73,293700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.14,12.595,11.916,12.5,67100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.63,12.63,12.1,12.47,68800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.12,12.17,11.89,12.1,55700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,12.19,11.77,12.15,58700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.85,11.97,11.75,11.8,111800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.86,12.005,11.52,11.9,106300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.57,11.8,11.36,11.7,83300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.78,11.81,11.21,11.6,148500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.5,14.18,11.34,12.97,347100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.02,12.02,11.44,11.78,331600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.63,11.94,11.58,11.94,95800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.78,11.8,11.566,11.76,146500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.59,11.7,11.21,11.64,197200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.6,11.77,11.29,11.74,183600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.39,11.65,11.25,11.61,149000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.44,12.15,11.35,12.09,238300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.68,12.01,11.595,11.89,239700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.72,12.075,11.5,11.96,282200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.84,12.53,11.77,12.41,433200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.64,12.77,12.4,12.59,231900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.59,12.59,12.21,12.36,172500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.33,13.02,12.15,12.91,366300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.05,13.5,12.81,13.29,255600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.5,13.61,13.2,13.41,328500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.76,12.57,11.73,12.32,347300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.575,11.77,12.28,403800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,11.98,11.525,11.62,338600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.74,11.93,11.66,11.79,298500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.88,11.98,11.69,11.92,313900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.08,11.9,12.01,104200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.92,12.04,11.86,11.92,163800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.02,11.78,11.85,285000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.86,11.88,11.71,11.75,171700
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.74,11.85,11.68,11.73,62100
