date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.82,10.48,9.701,10.15,635300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.92,9.96,9.615,9.68,789300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.7,9.7,8.635,8.83,1304100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.23,9.055,8.23,9,1208200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.05,9.58,8.89,9.44,875700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.24,9.555,9.03,9.36,590500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.34,9.38,9.02,9.08,466900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.08,9.58,8.78,9.4,842700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.53,9.64,9.325,9.41,525800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.38,9.41,9.11,9.19,736900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,8.75,7.75,8.585,2069400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.73,8.75,8.15,8.25,1006900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.37,8.8,8.16,8.7,545600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.96,9.34,8.96,9.29,626900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.46,9.46,9.12,9.24,378900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.43,9.47,9.19,9.26,388400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.41,9.55,9.19,9.21,338800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.24,9.255,8.98,9.12,479600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.13,9.37,8.61,9.36,443700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.36,9.36,8.93,9.03,495300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.01,9.01,8.5,8.5,430300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,8.765,8.54,8.59,472000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.44,8.77,8.3,8.61,1106000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.56,8.56,8.26,8.3,424600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.37,8.9,8.37,8.71,508400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.76,8.76,8.34,8.58,652300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.68,9.17,8.535,9.06,675100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.13,9.34,9,9.34,521100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.36,9.74,9.36,9.62,517000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.13,9.37,9.11,9.19,499300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.38,9.73,9.16,9.61,530800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.78,10.3,9.73,10.26,766100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.05,10.21,9.85,9.99,827000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.81,9.93,9.67,9.72,408200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.58,9.58,9.135,9.22,396100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.35,9.4,9.13,9.25,417100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.24,9.32,9.07,9.16,375700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.1,9.25,8.9,9.15,473700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.31,9.6,9.23,9.31,554700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.17,9.35,9.045,9.2,478500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.98,10.62,9.14,9.52,1262300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.57,9.63,8.7,8.97,740900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.01,9.11,8.83,8.92,591100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.82,8.82,8.32,8.35,423800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.45,8.45,8.08,8.14,431900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.21,8.49,8.21,8.38,255300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.44,8.714,8.44,8.48,266100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.43,8.705,8.28,8.37,327200
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.41,8.15,8.22,255200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.22,8.36,8.14,8.185,298300
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.96,8.19,7.96,8.09,411600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.06,8.22,7.81,7.89,641700
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.92,8.1,7.81,8.05,403700
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.96,8.07,7.82,7.85,570800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,8.11,7.75,8.02,389200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.09,8.17,7.87,7.91,343300
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.86,7.6,7.61,275200
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.96,7.66,7.86,493700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.96,7.96,7.75,7.78,401200
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.89,8.06,7.83,7.91,354100
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.88,8.15,7.88,8.07,622200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.18,8.35,7.89,8,582700
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.71,7.865,7.59,7.71,437400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.63,8.05,7.6,8.02,592300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.14,8.33,7.96,8.01,576600
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.94,8.09,7.87,7.92,277200
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.98,8.02,7.785,7.8,363400
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.83,7.98,7.8,7.86,424200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.57,7.74,7.54,7.73,396700
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.78,7.82,7.625,7.68,286200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.63,7.66,7.27,7.35,310500
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.37,7.37,6.92,7.09,371400
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.01,7.385,6.98,7.31,2111700
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.29,7.31,7.07,7.19,478600
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.18,7.42,7.03,7.04,413100
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.99,7.08,6.97,7.06,533000
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.11,7.35,7.02,7.33,1083100
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.3,7.57,7.24,7.27,733100
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.24,7.288,7,7.25,691400
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.1,7.14,6.66,6.73,384300
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.77,6.99,6.735,6.99,437500
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.01,7.28,7.01,7.15,294700
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.04,7.07,6.92,6.94,294500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.94,7.2,6.87,6.97,277100
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.05,7.07,6.87,6.99,312500
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.17,7.2,6.97,7.03,288400
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.1,7.36,7.025,7.34,389500
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.34,7.471,7.22,7.25,481700
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.56,5.355,4.38,5.35,5269100
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.33,5.44,5.03,5.17,3323500
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.2,5.373,4.93,5.32,2905600
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.38,5.66,5.35,5.43,1002100
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.5,5.7,5.43,5.45,937500
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.54,5.645,5.35,5.57,2015500
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.65,5.65,5.43,5.5,680900
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.53,5.54,5.435,5.5,690600
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.49,5.72,5.46,5.67,906600
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.64,5.82,5.62,5.65,916500
