date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.24,29.105,28.139999,28.559999,1712900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.18,28.365,27.190001,27.32,1668500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.360001,28.014999,27.110001,28,3365600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.6,28.59,27.6,28.1,1154400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.1,28.969999,27.9,28.280001,1642400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.1,28.75,28,28.52,1871000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.610001,28.735001,27.6,28.49,954900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.5,29.58,28.280001,29.32,3273600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.24,29.608,28.82,29.540001,2806600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.09,29.68,28.91,29.309999,1676100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.85,29.52,28.690001,29.459999,2016100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.799999,30.139999,29.375,30.049999,1868300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.15,30.559999,29.700001,30.52,1734000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.85,31.629999,30.85,31.559999,2523100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.719999,31.860001,31.26,31.440001,2114600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.51,31.620001,29.58,29.719999,2669600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.040001,30.105,29.42,29.76,1195800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.889999,30.1,29.035,29.040001,1563000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.15,29.385,28.950001,29.17,2614400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.860001,28.860001,26.924999,27.27,2398700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.299999,27.940001,26.870001,26.950001,1238200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.049999,27.59,26.9,27.5,1273700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.23,27.610001,26.92,27.49,1050600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.24,27.347,26.84,27.25,1118900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.360001,27.985001,27.215,27.450001,1882400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.42,27.865,27.059999,27.4,1199800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.4,28.6,27.4,28.24,3735800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.969999,30.57,24.6,28.59,7100200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28,30.49,27.639999,30.459999,3189500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.49,29.68,28,29.02,2982500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.5,29.74,28.76,29.4,1621400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.9,30.360001,29.459999,30.34,1383000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30,31.08,29.875,30.33,2335200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.65,30.139999,29.17,29.4,1405700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.155001,29.155001,28.209999,29.02,1284500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29,29.1,28.290001,29.01,2349300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.27,29.32,28.091,28.290001,1642900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.07,28.459999,27.83,27.99,1307800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.26,29.059999,27.879999,28.66,995100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.32,28.33,27.882999,27.940001,1133400
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.15,28.389999,27.73,28.23,1259800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.879999,28.74,27.85,28.049999,1245100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.15,28.700001,27.719999,28.629999,1229500
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.32,28.469999,27.68,27.74,930000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.09,28.25,27.49,28.110001,992400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.379999,29.139999,28.275,28.690001,805000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.950001,29.135,27.85,27.91,1022800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.799999,28.290001,27.629999,27.700001,825700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.75,28.059999,27.5,27.66,785200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.639999,28.139999,27.6,27.9,823200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.780001,28.35,27.610001,27.85,1553200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.76,28.32,27.530001,27.879999,2435600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.07,28.190001,27.624001,27.879999,827400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.6,28.725,27.5,28.48,947700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.4,28.51,27.370001,28.49,1243000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.639999,28.9,27.360001,28.02,1416000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.870001,27.98,27.620001,27.639999,1097800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.889999,27.889999,26.73,26.91,2021300
