date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20,20.129999,19.49,19.719999,967500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.68,19.68,19.059999,19.18,665800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.33,19.700001,19.139999,19.200001,701000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.139999,19.17,18.879999,18.879999,755700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.860001,19.35,18.6,19.33,489600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.25,19.25,18.65,18.66,693700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.790001,19.42,18.74,19.17,753100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.370001,19.370001,19.01,19.16,498800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.280001,19.5,19.17,19.35,354300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.299999,19.299999,18.91,19.030001,504300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.860001,19.190001,18.76,19.040001,493900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.209999,19.290001,19.040001,19.24,463200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.34,19.389999,18.85,19.08,588200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.25,19.719999,19.110001,19.629999,597800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.870001,19.870001,19.25,19.370001,421700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.639999,19.639999,19.27,19.309999,357200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.58,19.66,19.34,19.549999,476700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.639999,19.889999,19.440001,19.58,425500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.610001,19.98,19.540001,19.950001,395300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.889999,20.02,19.629999,19.67,366400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.66,19.82,19.4,19.41,402100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.549999,19.879999,19.389999,19.879999,531500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.719999,19.719999,19.059999,19.16,566400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19,19.24,18.73,19.1,449800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.129999,19.26,19,19.15,326300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.27,19.450001,19.059999,19.25,360900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.299999,19.85,19.24,19.73,348200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.809999,19.9,19.6,19.9,458200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.16,20.200001,19.91,20.049999,357200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.639999,20.049999,19.57,19.67,471600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20,20.93,19.73,20.889999,988100
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.9,21.299999,20.85,21.200001,835800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.209999,21.290001,20.940001,21.120001,535500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.120001,21.120001,20.719999,20.940001,577500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.940001,20.940001,20.5,20.870001,446100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.040001,21.15,20.860001,21,630700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.08,21.34,20.83,21.26,486200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.34,21.35,21.01,21.09,641400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.5,23.02,20.02,22.93,1885600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.18,23.690001,22.33,22.5,1203800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.93,23,22.360001,22.709999,1434900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.85,22.91,22.17,22.84,951600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,23.26,22.59,23.040001,2477800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.040001,23.25,22.66,22.809999,679400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.190001,23.5,22.809999,23.280001,661200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.370001,23.610001,23.309999,23.6,492400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.879999,24,23.17,23.41,435400
