date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.2,12.32,12.16,12.29,375400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.29,12.32,12.18,12.21,369400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.19,12.29,12.06,12.09,629600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.13,12.25,12.09,12.24,502800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.27,12.34,12.24,12.3,317200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.32,12.34,12.24,12.3,332500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.34,12.46,12.33,12.43,489800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.43,12.43,12.35,12.42,405300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.42,12.58,12.41,12.53,656900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.53,12.56,12.43,12.45,652700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.29,12.32,12.11,12.21,633500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.25,12.34,12.24,12.31,483900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.35,12.35,12.19,12.2,982800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.28,12.38,12.26,12.3,463200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.3,12.35,12.26,12.29,353600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.36,12.39,12.32,12.37,318800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.4,12.59,12.37,12.56,802200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.56,12.57,12.47,12.52,278300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.54,12.57,12.48,12.52,437000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.57,12.62,12.54,12.62,286600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.59,12.66,12.55,12.57,538200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.59,12.82,12.59,12.75,448200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.67,12.7,12.61,12.66,523900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.64,12.7,12.6,12.66,465900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.69,12.7,12.55,12.67,528500
