date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.45,12.54,12.36,12.44,902600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.36,12.36,12.13,12.19,1234400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.18,12.24,12.08,12.08,670200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.05,12.3,11.97,12.29,690500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.28,12.65,12.25,12.65,753500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.49,12.76,12.46,12.73,761900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.73,12.82,12.67,12.77,650700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.7,12.74,12.51,12.67,1058000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.75,12.99,12.74,12.81,872100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.74,12.76,12.55,12.66,839400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.63,12.66,12.38,12.52,1047800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.62,12.71,12.4,12.67,1487000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.7,12.71,12.47,12.63,1325300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.52,12.67,12.35,12.44,1237400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.47,12.56,12.36,12.56,922700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.65,12.73,12.47,12.49,1428600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.64,12.7,12.52,12.69,1067100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.74,12.83,12.67,12.69,1195900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.8,13.13,12.71,12.84,2548900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.8,12.8,12.5,12.5,2327900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.5,12.58,12.24,12.24,2036100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.31,12.47,12.06,12.44,1665400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.28,12.41,12.18,12.34,1293500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.29,12.29,11.88,12.11,1632900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.11,12.26,12.05,12.19,1095000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.27,12.27,11.8,11.85,2130900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.86,12.05,11.82,11.99,1113600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.19,11.96,12.18,787100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.2,12.37,12.15,12.37,847500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.13,12.13,11.79,11.82,1277300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.97,12.11,11.86,12.1,1174900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.18,12.55,12.16,12.49,1547800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.35,12.52,12.24,12.42,1133600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.35,12.43,12.25,12.35,961900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.34,12.37,12.25,12.34,1145200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.17,12.28,12.09,12.24,999100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.26,12.31,12.15,12.22,1110400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.21,12.27,12.02,12.16,1002900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.23,12.23,12.1,12.19,963000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.12,12.19,12.02,12.15,868600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.25,12.37,12.21,12.34,1543100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.3,12.42,12.23,12.38,1008900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.38,12.39,12.24,12.26,641500
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.22,12.3,12.16,12.26,666200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.34,12.4,12.28,12.38,908100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.43,12.48,12.4,12.44,684100
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.51,12.66,12.44,12.5,1024300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.5,12.68,12.47,12.59,1415900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.57,12.69,12.5,12.67,700300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.71,12.78,12.67,12.77,1289000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.73,12.73,12.31,12.33,1239000
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.29,12.48,12.24,12.48,1462000
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.43,12.54,12.4,12.48,856100
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.45,12.55,12.37,12.5,1000600
