date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),123.150002,126.230003,122.400002,123.089996,2091500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),123.440002,123.440002,119.650002,120.269997,1895700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.029999,122.800003,119.860001,121.830002,1946200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121.269997,124.989998,120.5,123.980003,2084900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),125.709999,130.320007,123.669998,129.630005,3725700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.809998,132.029999,128.380005,129.699997,2714700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130.039993,130.740005,127.970001,128,2351000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.970001,130.300003,126.720001,128.929993,2507200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.929993,130,124.059998,125,3646300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),123.589996,124.940002,121.290001,124.459999,3116700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),123,125.529999,122.540001,125.449997,1905600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.260002,128,125.300003,127.449997,3594800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.120003,127.989998,125.059998,127.290001,2819300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),129.199997,130.309998,128.649994,129.289993,3290100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),129.149994,129.320007,125.389999,127.120003,1823000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.100006,128.559998,125.739998,127.419998,1761900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),129.139999,129.389999,125.239998,126.510002,1680100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.07,126.389999,119.709999,121.959999,3851100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121.879997,124.260002,119.550003,124.25,2675300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),123.139999,123.239998,120.599998,120.790001,2680800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121.230003,123.059998,120.120003,121.349998,2392800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),122.150002,123.870003,119.919998,122.599998,2478200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),122.209999,122.449997,119.629997,120.959999,2559400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.709999,121.800003,119.599998,121.230003,2714700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121.809998,124.980003,120.43,124.919998,1988200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),124.919998,127.129997,124.279999,126.610001,2246600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.199997,127.370003,125.209999,127.050003,4298600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),123,124.989998,120.290001,120.470001,5639200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.529999,120.5,117.139999,118.419998,5252200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),116.519997,120.239998,116.260002,117.029999,3308200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),117.029999,117.699997,114.959999,116.75,3158200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),117.080002,118.510002,116.050003,117.690002,3125500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),116.830002,118.809998,116.32,117.050003,3971400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),116.730003,119.099998,116.730003,117.870003,3198900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),117,117.959999,115.300003,116.389999,2933600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),117.550003,118,115.360001,117.5,3037200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),117.129997,118.489998,116.010002,116.260002,6214000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),116.349998,118.190002,115.849998,116.169998,2812700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),116.25,116.419998,114.550003,115.32,2269300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),115.610001,115.709999,113.050003,114.220001,2764000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),115.089996,115.559998,114.029999,115.07,3556900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.370003,122.230003,113.690002,121.739998,4530500
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121.760002,124.300003,120.510002,122.300003,3477400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),123.080002,123.910004,120.900002,121.779999,3543600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.099998,133.940002,124.120003,133.720001,9510500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.600006,137.929993,132.259995,133.240005,5021500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134,136.25,132.330002,135.25,3761200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.649994,136.399994,133.009995,133.039993,3227900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133,136.729996,130.740005,135.380005,3364100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.100006,137.460007,131.529999,131.679993,2945500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.440002,133,128.720001,129.5,2589800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130.949997,131.820007,128.619995,130.460007,3965200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),131.679993,135.580002,131.509995,134.720001,2661600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.830002,134.330002,131.639999,134.169998,2267900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.869995,135.809998,131.309998,132.529999,1921500
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.479996,136.449997,133.149994,133.410004,2185500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.539993,134.380005,131.360001,133.179993,1426200
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.389999,140.880005,133.389999,140.100006,3917400
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.690002,142,138.5,139.929993,3096100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.550003,141.869995,138.119995,139.479996,2031700
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.979996,140.800003,138.509995,138.699997,2519900
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),138.789993,139.619995,136.979996,137.940002,1862400
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),136.330002,137.990005,135.210007,136.649994,2376500
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),136.729996,139.960007,136.589996,138.509995,1734900
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),139.559998,139.710007,133.229996,133.339996,3034300
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),133.130005,139.110001,131.740005,138.929993,2427100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),139.529999,140.910004,137.470001,139.940002,2285600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),140.779999,141.990005,138.529999,140.449997,2777000
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),138.809998,140.649994,137.419998,140.320007,1847000
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),140.100006,141.25,138.149994,139.619995,2070100
