date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.549999,34.189999,33.360001,33.779999,62200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.639999,34.029999,33.23,33.299999,78500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.450001,33.450001,32.869999,32.950001,69900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.709999,32.849998,32.139999,32.220001,43300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.360001,32.529999,31.01,31.469999,62200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.09,31.83,30.959999,31.719999,54200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.74,31.83,31.5,31.690001,32900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.709999,32.119999,31.27,31.98,61700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.32,32.32,31.4,31.690001,35900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.66,31.73,31.17,31.280001,36800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.9,31.68,30.08,31.02,47600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.17,31.9,31.17,31.77,28600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.049999,32.049999,31.1,31.379999,41000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.73,32.57,31.73,32.419998,53700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.549999,32.98,32.16,32.169998,51800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.560001,32.709999,32.099998,32.349998,37800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.790001,33.02,32.619999,33,38300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.32,33.490002,32.880001,33.009998,32600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.91,33.290001,32.700001,33.080002,46600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.02,33.41,33.02,33.080002,36200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.200001,33.540001,32.220001,32.220001,95700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.560001,33.220001,32.380001,33.099998,57800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.810001,32.950001,32.32,32.450001,46500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.16,32.27,31.559999,31.76,43300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.66,32.27,31.66,32.049999,43300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.09,32.849998,31.780001,32.799999,60200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.810001,33.43,32.799999,33.369999,70800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.529999,34.23,33,34,90800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.310001,35.32,34.119999,34.950001,73000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.130001,34.130001,32.57,33,93200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.450001,34.880001,33.450001,34.77,61400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.09,36.18,34.759998,35.959999,66700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.650002,35.700001,34.639999,34.68,59300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.200001,34.580002,33.619999,34.240002,63400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.299999,34.490002,33.959999,34.330002,30700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.349998,34.82,34.169998,34.82,53900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.689999,35.32,34.630001,35,34700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.029999,35.220001,34.689999,35.16,50200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.439999,35.68,34.990002,35.41,31400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.060001,35.540001,35.060001,35.299999,35100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.810001,35.810001,35.310001,35.52,43500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.419998,35.700001,35.18,35.57,42600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.75,35.950001,35.080002,35.119999,39800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.07,35.919998,35.07,35.630001,62200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.66,36.130001,35.060001,35.060001,48800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.029999,40.310001,36.029999,40.099998,211200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.209999,46.07,40.209999,45.220001,238800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.200001,45.200001,43.700001,44.84,155800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.599998,45.200001,44.130001,44.84,99900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.779999,46.959999,44.560001,46.349998,150800
