date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),113.75,115.209999,112.139999,112.489998,185500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.540001,112.589996,109.690002,111.150002,205100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.610001,111.839996,108.559998,109.099998,199400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.139999,110.75,107.529999,109.059998,258700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),108.470001,112.540001,108.349998,112.370003,288000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.129997,112.57,109.720001,112.389999,313500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),112.889999,115.589996,112.82,115.389999,282800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.730003,115.779999,113.089996,113.809998,293800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.959999,115.639999,111.43,113.410004,182400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),112.410004,113.540001,111.150002,113.43,166100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),111.529999,113.190002,111.379997,113.07,148000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.129997,115.300003,111.959999,114.160004,162200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.839996,115.480003,112.540001,113.910004,340600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.669998,116.379997,114.519997,115.32,237300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),116.389999,116.940002,109.870003,114.540001,283200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),115.690002,115.690002,113.080002,113.190002,176600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.580002,115.379997,113.709999,113.839996,176400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.300003,115.860001,113,115.18,152500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),114.860001,115.459999,114.480003,114.910004,114400
