date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.5,136.399994,135.210007,135.779999,1848300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.779999,136.169998,135.050003,135.710007,1444000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.880005,136.589996,135.369995,135.970001,1236200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.759995,136.880005,135.240005,135.610001,1698400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.949997,136.729996,135.440002,136.460007,1438700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.139999,138.470001,136.139999,137.720001,1328500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.720001,138.330002,136.899994,137.630005,1735300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.559998,138.100006,136.850006,137.740005,1192600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.259995,138.779999,137.429993,137.919998,1132700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.949997,138.160004,136.5,137.149994,1166800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137,137.080002,135.690002,136.619995,1340000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.619995,138.160004,136.009995,138.029999,1450000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.75,138.860001,137.399994,137.720001,1294100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.639999,138.720001,137.539993,137.570007,1515100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.220001,139.399994,137.940002,139.169998,1241600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.850006,140.110001,137.729996,137.860001,1418800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.759995,139.75,138.449997,138.940002,1513700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.070007,139.820007,138.690002,139.419998,1800400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.580002,140,138.25,138.580002,1474600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.419998,138.759995,137.220001,137.550003,2251400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.610001,139.779999,133.509995,137.580002,4345500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.429993,137.960007,135,137.919998,2717200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.820007,138.710007,135.240005,136.639999,2547400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136,136.259995,134.419998,134.940002,2616700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.470001,135.839996,134.570007,135.259995,1480600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.039993,137.479996,135.779999,136.75,1517600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137,139,136.679993,138.850006,1770500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.600006,140.979996,137,140.610001,2061500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.410004,140.410004,137.190002,137.550003,2465800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.830002,139.679993,136.210007,139,2250700
