date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.809999,23.809999,23.219999,23.33,2597700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.07,23.280001,22.969999,23.01,4293700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.1,23.75,22.75,23.450001,3152200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.23,23.639999,23.200001,23.530001,3278900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.66,24.27,23.58,24.27,2343000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.129999,24.51,24.07,24.43,1912200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.379999,24.565001,24.15,24.440001,1839600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.440001,24.540001,24.200001,24.209999,2206200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.450001,24.475,23.440001,23.549999,2824300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.58,24.02,23.209999,23.629999,2866500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.290001,23.465,22.905001,22.93,3396900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.16,23.26,22.77,23.040001,4623400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.110001,24.659,23.690001,24.57,7212900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.48,24.83,24.24,24.6,1933500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.92,26.26,25.17,25.389999,11050800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.530001,25.535,24.73,24.73,3028500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.950001,25.360001,24.709999,25.25,2202300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.120001,25.43,25.02,25.43,2411000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.299999,25.434999,24.940001,25.33,1690800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.219999,25.48,24.940001,25.48,1862600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.42,25.42,24.74,24.75,2189300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.889999,25.309999,24.764999,24.889999,1553100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.82,25.139999,24.620001,24.74,1690600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.52,24.67,24.280001,24.43,3260200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.57,24.725,24.25,24.32,1452400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.34,24.665001,24.200001,24.34,1594600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.440001,24.620001,24.18,24.200001,1790700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.120001,24.32,24.01,24.16,1244300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.49,24.15,24.34,1676200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.299999,24.01,24.049999,1866400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.120001,24.24,23.895,23.91,2090200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.040001,24.559999,23.690001,24.530001,2975300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.4,24.535,24.01,24.17,4043400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.049999,24.290001,23.879,24.02,2230200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.969999,24.33,23.91,24.129999,2555700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.34,24.66,23.950001,24.27,3950700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.32,24.709999,24.094999,24.17,3687700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.200001,24.200001,23.299999,23.32,3896300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.280001,24.525,23.139999,24.440001,6824500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24,24.6,23.200001,23.5,8330200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.76,24.17,23.51,24.049999,3419700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24,24.82,23.98,24.799999,4309200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.780001,24.879999,24.379999,24.540001,2426700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.610001,24.65,24.27,24.49,1658600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.700001,24.790001,24.209999,24.23,1431400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.440001,24.51,24.309999,24.33,1019200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.33,24.65,24.33,24.459999,1200100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.610001,24.92,24.485001,24.92,1832700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.860001,24.9,24.51,24.73,1488200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.700001,24.955,24.635,24.709999,1920400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.610001,25.17,24.549999,25.16,2647700
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.959999,25.18,24.92,25.01,5736500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.1,25.17,24.73,24.74,2128900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.75,24.865,24.549999,24.639999,2347900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.77,25.51,24.41,25.469999,5464600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.34,25.48,25.17,25.4,1271600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.52,25.58,25.34,25.52,1336700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.620001,25.74,25.445,25.620001,1408500
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.719999,25.84,25.575001,25.610001,2125900
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.700001,25.799999,25.41,25.51,2473400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.58,25.93,25.42,25.73,2096900
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.629999,25.745001,25.200001,25.290001,1631000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.25,26.059999,25.07,25.809999,48913100
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.93,26.32,25.860001,26.200001,42094300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.200001,26.4,26.15,26.33,13549100
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.360001,26.549999,26.26,26.370001,7346800
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.469999,26.629999,26.4,26.549999,3731800
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.51,26.6,26.469999,26.559999,2201300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.5,26.540001,26.389999,26.389999,8006700
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.440001,26.469999,26.370001,26.4,2874500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.4,26.48,26.35,26.41,3947900
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.4,26.51,26.379999,26.379999,5169300
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.389999,26.440001,26.290001,26.360001,8317600
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.4,26.4,26.299999,26.33,6568800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.33,26.450001,26.32,26.440001,4932400
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.4,26.5,26.34,26.5,1460800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.49,26.540001,26.4,26.42,1737000
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.450001,26.49,26.35,26.35,2205900
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.379999,26.440001,26.334999,26.440001,4165400
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.370001,26.49,26.34,26.43,1452500
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.459999,26.528,26.41,26.5,1622500
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.48,26.530001,26.42,26.450001,2803100
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.440001,26.469999,26.389999,26.41,6033300
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.41,26.475,26.389999,26.41,2370600
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.450001,26.559999,26.440001,26.49,2006700
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.540001,26.549999,26.469999,26.5,1765000
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.52,26.540001,26.450001,26.459999,3090800
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.530001,26.530001,26.450001,26.459999,2721300
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.469999,26.5,26.440001,26.469999,1549800
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.459999,26.49,26.389999,26.41,8390900
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.459999,26.49,26.4,26.469999,5332200
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.49,26.49,26.4,26.49,2160900
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.48,26.549999,26.459999,26.540001,2124700
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.549999,26.690001,26.540001,26.620001,3611300
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.639999,26.724001,26.639999,26.68,2485700
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.700001,26.77,26.66,26.709999,3183000
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.68,26.959999,26.66,26.940001,2989400
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.9,27.01,26.77,26.77,4069700
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.780001,26.812,26.719999,26.73,2761500
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.76,26.809999,26.66,26.709999,2445900
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.76,26.860001,26.74,26.77,1543200
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.75,26.809999,26.68,26.75,2622700
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.709999,26.815001,26.700001,26.76,1537400
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.75,26.870001,26.719999,26.76,1530400
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.780001,26.83,26.75,26.83,936800
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.84,26.879999,26.77,26.879999,2765200
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.85,26.85,26.785,26.82,2539700
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.82,26.924999,26.809999,26.860001,2434400
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.9,26.93,26.879999,26.9,2441300
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.879999,26.940001,26.860001,26.870001,5230200
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.870001,26.9,26.809999,26.85,2382600
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.809999,26.85,26.799999,26.799999,3004400
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.84,26.9,26.83,26.85,3475200
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.85,26.9,26.85,26.860001,2603200
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.85,26.879999,26.795,26.870001,2563400
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.870001,26.879999,26.635,26.75,5163900
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.780001,26.790001,26.639999,26.66,6302800
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.67,26.76,26.620001,26.68,5487900
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.700001,26.84,26.690001,26.84,5015100
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.83,26.888,26.799999,26.84,2727500
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.84,26.889999,26.780001,26.870001,4080500
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.84,26.91,26.76,26.85,4355600
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.860001,26.92,26.799999,26.9,4814900
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.92,27.049999,26.92,27.030001,2725100
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.059999,27.059999,27,27.040001,1595800
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.040001,27.09,27,27.030001,1682000
