date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244.240005,245.919998,237.889999,239.869995,1000800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),236.899994,236.899994,230.449997,233.029999,1182300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),233.789993,237.070007,233.449997,234.089996,760000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),233.240005,238.479996,233.240005,237.020004,883700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),240.020004,247.610001,240.020004,246.369995,1069400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),245.220001,246.380005,242.940002,243.270004,793300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244.75,245.990005,242.179993,244.830002,631900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),242.699997,243.839996,240.160004,242.830002,510600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),245.059998,245.059998,241.229996,243.759995,571200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),241.270004,246.649994,239.789993,246.449997,769100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244.619995,245.350006,241.429993,244.259995,857700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),246.460007,248.520004,241.919998,245.320007,638400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),246.75,246.979996,243.289993,245.339996,1193500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),247.690002,250.770004,246.520004,248.490005,800500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),250.570007,250.570007,247.470001,249.110001,574900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),250,250,246.660004,247.419998,503900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),248.990005,250.990005,247.039993,248.429993,562800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),248.550003,249.179993,245.360001,246.119995,633100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),246.410004,250.139999,245.759995,250.110001,656600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),248.470001,251.039993,247.800003,248.210007,458800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),247.949997,250.279999,243.539993,244.339996,858900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),245.490005,250.570007,242.720001,250.330002,632200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),248.020004,251,241.589996,249.899994,641400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),249.070007,249.070007,242.75,244.839996,795400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),243.589996,245.369995,239.979996,243.279999,942400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244.809998,245.800003,240.149994,241.860001,1463000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),251.210007,255,237.339996,252.059998,1846000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),252.289993,252.759995,246.009995,249.179993,840200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),249.660004,256.209991,249.660004,255.779999,671100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),253.910004,255.550003,246.009995,247.940002,867700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),250.080002,251.449997,246.220001,250.339996,836600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),251.669998,260.910004,251.139999,260.519989,1005400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),257.98999,260.619995,255.580002,258.079987,1112200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),257,258.690002,254.330002,257.850006,710300
