date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.52,8.52,8.26,8.29,1075800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.36,8.19,8.26,687000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.17,8.03,8.14,497100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.22,8.34,8.13,8.32,622900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.24,8.29,8.18,8.29,617500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.23,8.39,8.18,8.32,1029600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.27,8.3,8.19,8.27,762100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.41,8.43,8.29,8.35,480400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.36,8.42,8.29,8.35,425500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.27,8.29,8.13,8.2,557900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.17,8.29,8.16,8.22,610500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.14,7.98,8.07,454500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.04,8.1,8,8.1,419300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.09,7.84,7.89,637400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.05,7.88,8.02,584600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.16,8.18,7.99,8.08,994100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.09,8.17,8.07,8.17,286300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.18,8.19,8.08,8.19,580500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.16,8.02,8.05,378600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.01,7.92,7.97,3015900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.26,8.11,8.13,670900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.15,8.29,8.11,8.29,304600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.09,8.13,8.01,8.09,282000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.03,8.11,7.88,8.05,346400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.17,8.24,8.13,8.23,209700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.15,8.27,8.14,8.23,185300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.13,8.02,8.02,217300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.06,8.22,8.04,8.2,267800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.2,8.03,8.19,216900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.07,7.88,7.9,264800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.91,8.18,7.9,8.16,799500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.23,8.3,8.15,8.17,297500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.18,8.26,8.15,8.2,434400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.38,8.51,8.37,8.44,453200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.34,8.34,8.19,8.25,359200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.28,8.3,8.21,8.26,244600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.21,8.11,8.13,218900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.25,8.11,8.12,407200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.24,8.34,8.24,8.34,322200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.21,8.29,8.19,8.26,466200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.26,8.16,8.25,259200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.15,8.2,8.07,8.1,497100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.09,8.15,8.07,8.14,204100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.17,8.25,8.11,8.15,400900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,8.3,8.16,8.2,347500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.22,8.08,8.22,212600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.2,8.08,8.15,228200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.15,8.16,8.04,8.06,237900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.04,8.11,7.97,8.09,271900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.14,7.94,7.97,269400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,7.98,7.9,7.92,174800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.93,7.98,7.78,7.82,552700
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.85,7.89,7.7,7.71,220200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.68,7.84,7.68,7.81,265800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.83,8,7.83,8,213000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.12,7.92,8.04,460600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.14,7.96,8.01,302500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.05,7.87,7.91,304800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,7.88,7.73,7.78,392600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.9,7.76,7.88,200500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,7.9,7.63,7.72,742000
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.71,7.71,7.53,7.53,382700
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.52,7.61,7.44,7.6,332000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.56,7.71,7.46,7.66,175800
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.74,7.89,7.74,7.8,271700
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.8,7.81,7.6,7.7,163100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.7,7.84,7.69,7.79,259200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.85,7.86,7.76,7.86,275800
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.71,7.71,7.51,7.52,227100
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.5,7.53,7.25,7.28,589600
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.3,7.35,7.15,7.24,230400
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.15,7.2,7.09,7.14,203000
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7,7.11,6.91,7.05,409500
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.1,7.11,6.99,7.07,245000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.1,7.12,6.98,7.08,310300
