date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.49,32.014999,31.450001,31.860001,528500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.73,31.74,30.49,30.58,542000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.43,30.684999,30.07,30.610001,629100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.43,30.82,30.309999,30.540001,435000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.540001,31.445,30.540001,31.43,408400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.139999,31.58,31.139999,31.469999,313200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.379999,31.806999,31.379999,31.709999,420400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.6,31.99,31.34,31.959999,473800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.200001,32.34,31.83,32.110001,431700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.83,31.950001,31.469999,31.59,389600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.18,31.780001,31.1,31.5,441800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.469999,31.83,31.42,31.690001,314800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.889999,31.889999,31.325001,31.74,262300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.99,32.249001,31.805,32.029999,387100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.43,32.630001,31.98,32.169998,321200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.299999,32.439999,31.65,31.67,280500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32,32.630001,31.91,32.610001,301300
