date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.93,4.93,4.67,4.7,2567300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.62,4.629,4.51,4.58,2638200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.629,4.53,4.6,1359700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.6,4.77,4.54,4.58,1921400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.57,4.585,4.48,4.57,1618200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.59,4.495,4.51,1787600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.51,4.59,4.495,4.58,904300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.58,4.63,4.48,4.57,1978300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.72,4.83,4.66,4.69,2176500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.63,4.63,4.48,4.53,2311600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.48,4.37,4.45,3766800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.51,4.51,4.435,4.47,2024400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.52,4.38,4.48,1422400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.46,4.35,4.41,1386800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.42,4.53,4.37,4.53,1872600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.58,4.62,4.31,4.33,1786500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.39,4.42,4.32,4.39,1401600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.41,4.425,4.35,4.4,1453600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.43,4.48,4.33,4.38,1216200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.45,4.47,4.363,4.41,1424700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.42,4.56,4.395,4.4,1544300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.47,4.63,4.43,4.63,2497000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.5,4.55,4.43,4.5,1607400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.41,4.48,4.388,4.41,1427900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.49,4.36,4.47,1112400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.49,4.36,4.36,1069300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.36,4.4,4.33,4.33,1064500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.33,4.34,4.255,4.31,1639100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.45,4.305,4.42,1340700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.34,4.21,4.31,3022000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.42,4.28,4.39,1609800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.43,4.62,4.43,4.58,2307200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.65,4.52,4.6,1247400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.63,4.67,4.53,4.6,1726000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.6,4.49,4.56,2153000
