date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),238.889999,240.270004,236.850006,238.899994,1309000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),237.399994,237.440002,231.839996,233.100006,1843200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),233.759995,236.949997,233.759995,234.479996,1303600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),234.580002,235.559998,233.729996,234.860001,985800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),236.130005,239.169998,234.199997,238.979996,1278600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),237.449997,239.759995,235.669998,239.479996,974300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),241,242.410004,239.809998,240.889999,1233000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),241.399994,243.649994,239.220001,243.419998,1366600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244.270004,244.270004,240.770004,242.110001,1011700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),241.179993,243.25,239.199997,241.740005,1538300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),236.899994,238.979996,236.039993,237.259995,2041800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),237.300003,240.679993,236.199997,240.119995,1295300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),241.770004,244.619995,240.050003,244.600006,1500400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),245.759995,246.949997,243.660004,243.899994,1727400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244,244,239.169998,243.25,1959300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244.929993,244.990005,241.449997,241.570007,1541900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),243.729996,246.289993,241.869995,245.820007,1678400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),246,247.550003,245.009995,245.889999,1138600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),244.410004,248.809998,244.350006,248.720001,1464800
