date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.75,7.77,7.71,7.73,284200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.73,7.73,7.65,7.65,250400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.65,7.88,7.64,7.7,671300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.71,7.74,7.69,7.71,307900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.73,7.81,7.71,7.8,292800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.78,7.81,7.76,7.76,273900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.78,7.85,7.76,7.85,234000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,7.87,7.78,7.86,223300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,7.89,7.84,7.86,184300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,7.86,7.79,7.81,311200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,7.8,7.75,7.79,335900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.86,7.79,7.81,353200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,7.87,7.81,7.83,269800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.85,7.76,7.79,367000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.81,7.84,7.74,7.76,304300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.82,7.75,7.77,291700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.81,7.77,7.79,197400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,7.81,7.77,7.78,353100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.81,7.86,7.81,7.86,323200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,7.87,7.82,7.85,271800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.83,7.87,7.76,7.78,428200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.86,7.8,7.86,343900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.85,7.87,7.81,7.83,418600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,7.84,7.79,7.81,283700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.85,7.87,7.82,7.84,337200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.89,7.95,7.88,7.92,263500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.93,7.94,7.89,7.91,202700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.92,7.96,7.92,7.95,230900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.96,8.01,7.95,7.97,257200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.91,7.92,7.83,7.88,263100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.91,7.98,7.91,7.95,315000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.97,8.02,7.97,8.01,251200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.01,8.02,7.97,7.98,214900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,8,7.93,7.97,280500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.91,7.95,7.88,7.91,511800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.03,8,8.01,277800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.04,8.05,7.98,7.99,256500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.02,8.03,7.93,7.95,231800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,8,7.97,8,212100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8,7.95,7.98,188600
