date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.75,36.669998,35.580002,36.470001,7584600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.529999,36.669998,35.900002,36.18,6784000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.09,36.32,35.970001,36.02,5443600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.91,36.5,35.740002,36.310001,4980000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.049999,36.740002,35.950001,36.689999,6027200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.470001,36.59,36.23,36.439999,6096200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.630001,36.779999,36.400002,36.639999,5345800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.41,36.57,35.98,36.209999,6882000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.5,36.59,36.049999,36.07,4096400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.91,35.990002,35.459999,35.700001,7465100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.509998,36.060001,35.279999,35.59,7004100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.360001,35.439999,34.880001,35.299999,6258100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.189999,35.389999,34.810001,35.040001,9294800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.939999,35.380001,34.66,34.860001,5031600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.91,35.119999,34.509998,34.75,6110200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.849998,34.990002,34.029999,34.080002,7287600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.43,34.900002,34.080002,34.900002,12960400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.91,35.029999,34.66,35.009998,6182300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.970001,35.299999,34.66,35.290001,5454500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.009998,35.150002,34.650002,35.049999,6400500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.23,35.299999,34.529999,34.810001,13440600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.810001,35.060001,34.459999,35.02,5605700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.700001,34.700001,33.939999,34.349998,5819500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.939999,34.23,33.580002,33.619999,6336100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.619999,34.150002,33.459999,33.91,6444500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.110001,34.259998,33.66,34.099998,6946600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.98,33.98,33.529999,33.75,5935400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.639999,33.900002,33.349998,33.84,6520400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.790001,34.5,33.580002,34.380001,7862500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.419998,34.66,33.5,34.189999,9168800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.25,34.490002,34.040001,34.119999,6822200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.310001,34.939999,34.299999,34.860001,5052500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.759998,35.139999,34.43,34.91,7831000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.900002,35.34,34.68,34.73,6695100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.68,36.459999,35.5,36.209999,12107200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.029999,36.200001,35.380001,36.029999,7518300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.880001,36.41,35.860001,36.130001,4552300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.07,36.07,35.290001,35.630001,6997400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.880001,36.400002,35.73,36.209999,6158500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.049999,36.330002,35.669998,35.799999,5618800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.939999,36.279999,35.619999,35.84,11354100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.220001,35.619999,34.98,35.490002,4947100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.34,36.279999,35.27,36.200001,5248600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.25,36.990002,36.130001,36.27,9773800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.32,36.73,36.32,36.669998,5743400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37,37.259998,36.700001,36.830002,5659300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37,37.080002,36.529999,36.959999,6904700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.09,37.389999,36.740002,37.189999,5064000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37,37.110001,36.779999,37.009998,11600300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.209999,37.419998,36.950001,36.990002,8789100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.950001,37.080002,36.369999,36.57,9924900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.549999,36.93,36.209999,36.48,17634800
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.540001,36.98,36.380001,36.599998,7371100
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.509998,37,36.5,36.810001,6947300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.630001,37.130001,36.349998,36.560001,5654600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.639999,37.18,36.529999,37.029999,6612800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.279999,37.279999,36.68,36.700001,5160900
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.75,36.959999,36.57,36.849998,5381600
