date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.360001,40.18,39.145,39.450001,147400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.150002,39.220001,38.240002,38.52,158300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.720001,39.349998,38.68,38.73,106800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.490002,39.294998,38.290001,38.84,104100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.810001,39.32,38.630001,39.32,126200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.57,39.27,38.290001,38.869999,101600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.540001,39.220001,38.380001,39.209999,107900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.759998,39.040001,37.860001,38.540001,152600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.16,39.436001,38.080002,38.360001,96800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.07,37.84,36.049999,36.849998,208500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.09,36.360001,34.799999,35.380001,188500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.650002,36.799999,35.130001,36.509998,289000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.799999,37.540001,36.18,37.470001,201800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.009998,38.605,37.669998,38.5,169700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.98,38.98,38.189999,38.189999,173500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.720001,38.98,37.93,38.560001,141100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.049999,39.165001,37.880001,38.360001,226900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.849998,39.18,38.188999,38.470001,74800
