date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.450001,21.9,21.26,21.42,5200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.469999,21.57,20.469999,20.67,14800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.82,20.91,19.99,20.27,30000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.4,20.4,19.799999,19.9,41500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.15,20.18,19.5,19.620001,17700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.469999,19.6,19,19.1,16500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19,19,18.76,18.889999,14500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.629999,18.99,18.5,18.620001,10300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.77,19.09,18.389999,18.48,11700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.450001,18.549999,18.25,18.360001,19700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.200001,18.450001,18.110001,18.450001,8500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.43,18.83,18.299999,18.41,23600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.58,18.700001,18.07,18.5,27300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.379999,18.790001,18.379999,18.629999,12200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.84,18.84,18.459999,18.459999,6100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.139999,20.32,18.450001,18.459999,16300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.43,19.700001,19,19.26,12300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.5,20.16,19.26,19.26,9800
