date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.27,15.75,15.27,15.56,426500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.49,15.49,14.9,14.92,582500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15.1,14.88,14.88,442700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.78,15.04,14.77,14.83,672700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.79,14.88,14.66,14.84,359700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.65,14.66,14.48,14.65,355400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.6,14.69,14.48,14.68,300100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.55,14.64,14.26,14.57,461400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.74,14.75,14.29,14.43,278800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.22,14.39,14.17,14.25,378900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.97,14.26,13.97,14.24,441500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.33,14.4,14.1,14.19,332600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.28,14.51,14.11,14.5,512800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.6,15.02,14.6,15.01,594900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.1,15.1,14.69,14.69,466100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.82,14.99,14.69,14.76,412600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.93,15.03,14.5,14.67,419600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.79,14.87,14.69,14.78,571100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.8,15.07,14.77,15.05,458500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.9,15.04,14.83,14.94,336500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.83,15.04,13.96,14.01,723800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.99,14.06,13.26,13.62,932300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.33,13.73,13.27,13.54,583800
