date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.91,21.51,19.91,21.25,421200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.549999,21.549999,19.860001,20.17,378400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.17,21.219999,19.950001,20.049999,549700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.799999,20.15,18.950001,19.59,487800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.17,20.42,19.1,20.280001,385000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.879999,20.370001,19.34,19.49,328600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.42,19.860001,18.82,19.139999,232200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.870001,19.280001,18.48,18.799999,283000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.139999,19.75,18.68,18.799999,129600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.49,18.799999,18.190001,18.440001,210100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.030001,18.284,17.6,17.75,268900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.75,17.75,16.84,17.049999,313600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.049999,17.23,16.639999,17.030001,512000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.290001,18.35,17.290001,17.790001,813200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.16,18.860001,17.844999,18.459999,708000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.799999,19.360001,18.120001,18.549999,623900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.879999,19.5,18.76,19.08,449900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.24,19.77,17.209999,17.5,608800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.93,18.16,17.5,18.02,424400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.9,17.92,17.360001,17.85,557000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.84,18.09,17.219999,17.25,380900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.299999,18.75,16.764999,18.67,821000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.639999,18.639999,17.209999,17.49,931000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.049999,35.612999,28.75,32.290001,19637700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.970001,33.389999,28.82,33.209999,2478900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.349998,33.799999,27.98,28.24,5551700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.5,27.75,26,26.9,4444600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.09,29.530001,26.690001,28.629999,1292700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.700001,29.32,27.280001,27.85,1930700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.1,27.35,26.25,26.65,1032900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.98,28.02,26.052999,27.809999,1152300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.16,28.620001,27.67,27.690001,936700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.67,28.184,27.25,27.26,853200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27,27.700001,26.75,27.389999,1012000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.459999,27.863001,26.290001,26.48,683300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.41,27.049999,26,26.18,719300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.25,27.58,26.24,27.190001,649100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.129999,29.129999,27.129999,29,543100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.68,30.23,29.02,29.91,940700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.65,29.91,27.799999,27.889999,438900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.65,29.129999,27.85,28.02,477100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.77,29.91,27.65,29.370001,865500
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.66,29.959999,28.51,28.74,2445300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.620001,29.139999,27,27.040001,596900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.16,28.27,27.003,28.26,432800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.57,29.66,28,29.51,686300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.1,31.16,28.496,29.57,702100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.629999,30.15,28.33,28.549999,646600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.68,28.940001,27.5,28.530001,458700
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.530001,29.575001,28.459999,29.4,437200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.049999,29.59,28.290001,29.370001,855400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.799999,32.369999,28.799999,31.51,1561200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.27,31.91,30.440001,31.030001,778800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31,32.09,29.23,32.02,796900
