date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.51,9.86,9.43,9.54,559200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.36,9.46,8.65,9.12,852600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,9.46,9.05,9.21,431900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.93,10.15,9.29,9.95,1668800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.83,10.09,9.635,9.86,592900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.63,9.85,9.49,9.68,577300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.66,9.71,9.42,9.56,762100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.45,9.6,9.29,9.4,594300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.51,9.65,9.31,9.54,1325400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.42,10.22,9.21,9.95,1055000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.65,10,9.65,9.92,686000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.99,10.2,9.83,9.99,666000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.01,10.43,9.86,10.4,567500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.65,10.78,10.374,10.77,720700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.9,11.15,10.61,10.75,538300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.95,11.17,10.84,10.93,655400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.47,11.47,9.62,10.22,2095200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.52,10.675,10.2,10.36,799500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.57,10.72,10.1,10.64,817000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.56,10.71,10.26,10.26,461500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.33,9.26,9.52,1428200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.66,9.86,8.39,9.04,1264000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.65,9.16,8.52,8.92,797300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.81,8.88,8.4,8.42,816700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.41,8.72,8.035,8.1,754900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.17,8.205,7.52,7.93,1085300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,8.22,7.81,8.19,570900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.17,8.355,7.93,8.3,598200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.28,8.56,8.21,8.21,1269400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.81,7.85,7.38,7.51,874100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.67,7.84,7.58,7.8,490800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,8.195,7.81,8.17,685300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.95,8.23,7.78,8.17,462100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,8.22,7.98,8.09,320500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8,7.755,7.8,373500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.915,7.71,7.88,386600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.88,8.26,7.682,8,502700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.96,8.19,7.855,7.92,334300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.17,7.825,7.89,335300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.79,8.15,7.78,7.82,479100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.08,8.31,7.85,7.93,483600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,7.845,7.45,7.63,480200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.67,7.765,7.28,7.3,360900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.16,7.89,7.15,7.77,403800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,8.25,7.44,8.05,605400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.18,8.34,8.1,8.1,494900
