date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,412
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.67,10.67,10.67,10.67,0
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.92,10.92,10.67,10.71,1140
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.77,10.69,10.7,1446
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.66,10.76,10.66,10.71,1006
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.7,10.7,10.7,10.7,212
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.71,10.82,10.71,10.82,672
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.79,11.4,10.62,10.73,1085
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11.09,10.8,11.09,1010
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.43,11.43,10.66,10.81,2707
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.6,11.6,11.27,11.32,889
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.85,11.64,10.85,11.64,548
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.64,11.64,11.64,11.64,0
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.64,11.64,11.64,11.64,0
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.64,11.64,11.64,11.64,0
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.64,11.64,11.64,11.64,0
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.64,11.64,11.64,11.64,0
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.69,10.69,10.69,104
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.69,10.69,10.69,0
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.69,10.69,10.69,0
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.69,10.69,10.69,0
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.69,10.69,10.69,0
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.69,10.69,10.69,0
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.69,10.63,10.63,1496
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.63,10.63,10.63,10.63,0
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.63,10.63,10.63,10.63,0
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.63,10.63,10.63,10.63,0
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.63,10.63,10.63,10.63,0
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.63,10.63,10.63,10.63,0
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.63,10.63,10.63,10.63,0
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.63,10.63,10.63,10.63,0
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.63,10.63,10.63,10.63,0
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.69,10.8,10.69,10.78,1790
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.78,10.78,10.78,10.78,0
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.78,10.78,10.78,10.78,0
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.78,10.78,10.78,10.78,0
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.8,12.45,11.4381,12,8867
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12,12,12,12,0
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12,12,12,12,0
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.9,15.05,11.9,12.94,40283
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),13.34,14.5,11.74,12.39,41453
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.99,14,11.2,12.11,25734
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.7,15,11.7,12.8068,23373
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.8068,12.8068,12.8068,12.8068,0
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.8068,12.8068,12.8068,12.8068,0
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.8068,12.8068,12.8068,12.8068,0
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.84,14.65,11.6,12.7,20648
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),13.2,13.8,10.73,10.73,9652
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.89,12,11.5,11.5,2772
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.99,12.6,11.7,11.98,5505
