date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.88,4.885,4.715,4.82,656200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,4.93,4.809,4.9,545100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.87,4.925,4.84,4.87,403600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.86,4.89,4.815,4.87,371000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.85,4.85,4.74,4.81,729200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.77,4.77,4.69,4.74,885900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,4.895,4.7,4.74,764100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,4.9,4.71,4.86,1186200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.87,4.88,4.78,4.8,1132600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.74,4.75,4.45,4.54,1567700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.49,4.68,4.49,4.61,883100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.65,4.675,4.57,4.65,550800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.66,4.66,4.53,4.63,609900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.61,4.625,4.53,4.58,784400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.65,4.755,4.65,4.69,773600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.76,4.8,4.72,4.78,759800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.77,4.79,4.68,4.78,605400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.79,4.805,4.74,4.76,524300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.79,4.8,4.68,4.78,469500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,4.79,4.725,4.76,377700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.71,4.92,4.71,4.81,1166200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.85,4.878,4.78,4.83,618600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.8,4.835,4.73,4.76,550600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.8,4.8,4.65,4.72,641300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.81,4.915,4.77,4.86,1299600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,4.9,4.8,4.83,747100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.77,4.775,4.61,4.71,1277500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,4.75,4.625,4.68,521100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.72,4.79,4.69,4.74,957200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.66,4.82,4.66,4.77,907900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,4.955,4.815,4.95,850200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.93,5.03,4.93,5.02,746600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.09,5.14,4.97,5.04,795500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.05,5.05,4.96,5,561500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.02,5.19,5.02,5.08,627500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.08,5.23,5.05,5.16,722800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.2,5.27,5.18,5.23,637500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.21,5.245,5.08,5.14,383800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.16,5.265,5.09,5.24,498300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.18,5.23,5.1,5.23,265000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.305,5.21,5.23,1113100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.24,5.465,5.24,5.39,1107600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.37,5.37,5.22,5.25,638900
