date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.4,23.120001,22.389999,22.98,972700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.950001,23.049999,22.799999,22.85,1267500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.9,22.91,22.639999,22.700001,1088900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.65,22.940001,22.58,22.799999,1741200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.799999,22.969999,22.76,22.889999,1200700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.83,22.98,22.690001,22.969999,1141800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.91,23.01,22.530001,22.540001,1126800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.440001,22.52,22.280001,22.469999,969500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.67,22.719999,22.49,22.57,502400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.540001,22.620001,22.389999,22.49,766400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.32,22.68,22.290001,22.48,868900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.379999,22.530001,22.309999,22.530001,973500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.58,22.58,22.309999,22.370001,720500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.35,22.52,22.23,22.440001,976700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.59,22.85,22.559999,22.809999,869600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.799999,22.82,22.5,22.51,837900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.59,22.809999,22.49,22.799999,645300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.92,22.98,22.790001,22.83,545600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.879999,22.879999,22.59,22.67,884900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.629999,22.99,22.549999,22.99,1355500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.969999,23.07,22.77,22.799999,2246700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.77,23.620001,22.59,23.58,1900500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.620001,23.76,23.309999,23.51,1059200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.42,23.52,23.129999,23.129999,890200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.110001,23.51,23.07,23.360001,1104800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.5,23.5,23.16,23.16,1298800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.24,23.549999,23.16,23.389999,1797400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.84,23.469999,22.030001,22.190001,3031600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.120001,22.67,22.120001,22.610001,1880400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.4,22.629999,22,22.16,1552600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.08,22.209999,21.799999,22.190001,1196200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.26,22.440001,22.209999,22.34,905000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.299999,22.52,22.110001,22.42,1117600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.51,22.93,22.4,22.75,1199000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.879999,22.93,22.73,22.9,1012300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.719999,23.01,22.58,22.99,2034800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,23.200001,22.91,23.02,801300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,23.02,22.66,22.860001,979700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.83,22.879999,22.450001,22.59,1020200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.620001,22.799999,22.43,22.709999,1173000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.6,22.690001,22.379999,22.42,1800800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.309999,22.309999,22.08,22.23,1094200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.15,22.469999,22.09,22.450001,903900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.540001,22.66,22.209999,22.34,1056900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.469999,22.620001,22.42,22.610001,1042800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.700001,22.74,22.32,22.440001,899800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.42,22.969999,22.34,22.940001,907100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,23.219999,22.950001,23.129999,979100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.08,23.32,23.040001,23.190001,766900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.299999,23.48,23.049999,23.07,1054200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.99,23.049999,22.42,22.540001,1219200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.389999,22.790001,22.389999,22.700001,3331900
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.66,22.969999,22.59,22.780001,1612800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.84,22.969999,22.75,22.9,1059100
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,23.129999,22.879999,23.07,867100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.09,23.18,22.889999,23.1,958100
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.17,23.17,23.01,23.049999,924300
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.09,23.309999,23.030001,23.25,1035600
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.35,23.42,23.219999,23.280001,1190800
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.43,23.75,23.4,23.719999,1561500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.82,23.9,23.66,23.75,1139800
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.75,23.809999,23.559999,23.629999,901800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.610001,23.73,23.5,23.52,1073500
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.440001,23.52,23.030001,23.139999,1772300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.32,23.48,23.200001,23.299999,940500
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.24,23.32,23.09,23.17,916000
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.18,23.27,23.049999,23.1,754900
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.200001,23.209999,23.049999,23.15,1087100
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.99,23.049999,22.700001,22.83,1006000
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.950001,22.950001,22.73,22.85,688800
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.809999,22.93,22.559999,22.620001,1023300
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.719999,22.92,22.639999,22.91,974800
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.940001,23.27,22.93,23.17,1603000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.360001,23.43,23.120001,23.33,1277800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.459999,24.059999,23.290001,24.040001,1377900
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.049999,24.6,23.98,24.58,1594300
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.530001,24.799999,24.469999,24.67,1120300
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.639999,24.870001,24.58,24.690001,897500
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.51,25.030001,24.360001,25.030001,1408500
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.110001,25.18,24.879999,24.889999,986000
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.73,24.92,24.610001,24.620001,1668700
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.709999,24.92,24.59,24.85,995400
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.809999,24.969999,24.700001,24.940001,1629500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.780001,25.190001,24.540001,25.040001,944000
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.1,25.24,24.959999,25,1046900
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.02,25.040001,24.709999,24.9,1024000
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.01,25.01,24.65,24.780001,1341600
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.950001,25.120001,24.879999,25.08,1372500
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.120001,25.219999,25.07,25.120001,817200
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.25,25.450001,25.08,25.42,1073200
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.370001,25.43,25.219999,25.42,1190000
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.469999,25.59,25.129999,25.18,1360900
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.280001,25.51,25.18,25.35,1602400
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.42,26.120001,25.35,25.51,1873400
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.59,25.67,25.43,25.49,3319200
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.4,25.65,23.82,24.450001,2875100
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.469999,24.809999,24.290001,24.35,1918900
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.35,24.4,24.219999,24.26,1017100
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.129999,24.25,23.91,23.91,1144000
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.73,23.92,23.6,23.610001,1262000
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.700001,23.709999,23.33,23.43,982000
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.370001,23.42,22.85,22.85,981500
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.73,22.82,22.459999,22.52,1332500
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.610001,22.780001,22.450001,22.77,1514000
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.799999,23.25,22.74,23.219999,2044100
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.26,23.32,23.09,23.15,1839400
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.129999,23.35,23.030001,23.23,1081200
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.17,23.219999,22.99,23.18,1005200
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.99,23.32,22.809999,23.08,988100
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.940001,23.129999,22.780001,22.799999,759300
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.66,22.790001,22.41,22.6,858500
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.58,22.790001,22.5,22.790001,1199100
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.9,22.9,22.559999,22.620001,873500
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.66,22.68,22.389999,22.66,846500
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.620001,22.690001,22.299999,22.33,853600
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.32,22.68,22.209999,22.65,821500
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.57,22.82,22.42,22.48,1288900
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.34,22.700001,22.309999,22.41,1308900
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.51,22.66,22.42,22.52,2005500
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.549999,22.860001,22.51,22.799999,1215400
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.77,22.82,22.469999,22.65,1629300
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.459999,22.530001,22.33,22.49,1234600
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.59,22.59,22.26,22.35,1067000
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.379999,22.379999,21.969999,22.200001,1740900
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.309999,22.459999,22.02,22.030001,840400
