date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.3,14.66,14.25,14.38,110500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.45,14.56,13.99,14.03,123700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.03,14.12,13.92,13.92,69400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.17,14.19,13.88,13.91,150000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.91,13.99,13.73,13.87,58100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.71,13.71,13.51,13.56,64300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.47,13.84,13.42,13.57,60100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.44,13.44,13.14,13.41,74100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.49,14.75,13.27,13.35,50800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.19,13.35,13.1,13.14,71000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.96,13.28,12.9,13.15,52400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.23,13.25,13.11,13.23,56900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.35,13.53,13.11,13.52,96500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.67,13.82,13.49,13.55,158600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.66,13.77,13.46,13.65,87800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14,14.47,13.95,14.33,134500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.5,14.58,14.06,14.18,88200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.33,14.38,14.19,14.29,77400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.21,14.31,14.05,14.2,105900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.17,14.2,14.05,14.19,66200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.97,14.3,13.72,13.72,144400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.69,13.8,13.28,13.74,100500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.5,13.71,13.47,13.53,162900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.53,13.79,13.14,13.67,342700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.81,13.93,13.54,13.65,215900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.69,13.92,13.5,13.78,153200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.86,13.86,13.67,13.79,70400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.86,14.01,13.64,13.98,85000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.98,14.33,13.94,14.16,134200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.76,13.77,13.44,13.49,192900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.62,13.8,13.51,13.75,88000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.85,14.43,13.85,14.31,137000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.23,14.34,14.13,14.24,98200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.11,14.32,14.09,14.15,84700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.09,14.14,13.81,13.96,66800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.92,13.96,13.7,13.81,72800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,13.9,13.62,13.65,48800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.62,13.69,13.3,13.43,138000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.48,13.58,13.26,13.31,70100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.24,13.5,13.16,13.29,83700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.51,13.59,13.4,13.48,110100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.42,13.43,13.27,13.32,69800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.32,13.54,13.3,13.32,46700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.23,13.68,13.23,13.59,55400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.65,13.69,13.39,13.56,73400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.49,13.56,13.26,13.31,60000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.46,13.55,13.35,13.4,58300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.3,13.43,13.3,13.38,49800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.31,13.33,13.08,13.11,53800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.03,13.1,12.83,12.94,186300
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.92,12.93,12.36,12.52,223900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.45,12.78,12.45,12.56,371900
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.59,12.62,12.29,12.34,222600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.32,12.6,12.32,12.4,212900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.59,13.02,12.37,12.93,112700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.94,13.06,12.89,13.05,97900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.06,13.06,12.75,12.78,66300
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.72,12.9,12.71,12.77,53400
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.95,12.95,12.65,12.74,68700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.87,13.17,12.84,13.15,74700
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.25,13.4,13.15,13.36,177400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),13.36,13.36,13.1,13.18,80800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),13.05,13.19,12.94,12.99,87700
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.91,13.1,12.9,12.97,81100
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),13.09,13.15,12.88,12.91,67700
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.85,12.86,12.77,12.8,43100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.89,12.9,12.75,12.76,73700
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.74,12.92,12.74,12.9,53200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.64,12.71,12.07,12.17,118800
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.2,12.31,12,12.12,99700
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.08,12.11,12,12.03,68800
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.03,12.2,11.88,11.97,60500
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.9,11.9,11.8,11.84,54900
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.85,11.99,11.85,11.87,66100
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.86,12.02,11.86,11.98,98800
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.93,12.43,11.78,12.41,99200
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),12.49,12.62,12.38,12.46,79200
