date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.6,16.879999,16.25,16.25,4200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.219999,16.790001,16.219999,16.68,5600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.950001,17.02,16.75,16.93,9900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17,17,16.73,16.83,7900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.83,17.049999,16.690001,17.02,2500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.450001,17.450001,17,17.01,2200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.190001,17.59,16.879999,17,5500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.200001,17.200001,16.75,16.92,2800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.620001,17.620001,16.91,16.91,900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.719999,17.76,16.719999,17.549999,10400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.700001,17.799999,17.469999,17.75,6200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.639999,17.75,17.639999,17.75,1000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.65,17.700001,17.65,17.65,1600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.59,17.9,17.59,17.65,4800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.040001,18.040001,17.67,17.67,2400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.75,18,17.75,18,900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18,18,18,700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18,17.75,17.91,5600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.809999,18,17.809999,17.98,1800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.93,18.17,17.92,18.17,3000
