date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.879999,25.25,24.74,24.74,25800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.6,25.1,24.188999,24.77,5900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.02,25.15,24.85,24.969999,10800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.51,25.24,24.5,25.025,13300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.75,25.23,24.6,25.09,12300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.08,25.165001,24.950001,25,20900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.219999,25.245001,25.09,25.23,11600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.003,26.379999,25.003,25.200001,17500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.25,25.25,24.610001,24.77,11400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.76,25.365,24.76,25.26,14000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.174999,25.299999,25.01,25.01,7000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25.459999,25,25.174999,11300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.200001,25.49,25.188,25.25,23700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.125,25.18,25.055,25.055,10600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25.079,24.950001,24.955,13900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.1,25.1,25,25,20700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.025,25.23,24.99,25.219999,13900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.299999,25.375,25.076,25.23,6200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.165001,25.605,25.129999,25.52,8800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.4,25.577999,25.299999,25.299999,12500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.120001,25.32,24.98,24.98,20600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.02,25.33,24.9,24.9,12300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.940001,25.450001,24.75,24.75,9200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.870001,25.325001,23.68,25.014999,24800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.75,25.007,24.75,24.799999,15000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.950001,24.950001,24.799999,24.908001,3700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25.23,25,25.23,2700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.059999,25.059999,25.059999,25.059999,800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.190001,25.440001,25.16,25.34,4900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.25,25.474001,25.25,25.469999,6400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.438999,25.5,25.35,25.35,17200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.42,25.459999,25.33,25.41,4000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.43,25.459999,25.379999,25.459999,11500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.42,25.42,25.360001,25.379999,3100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.398001,25.530001,25.319,25.42,4300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.320999,25.4,25.320999,25.4,1300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.42,25.540001,25.370001,25.5,7600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.51,25.58,25.51,25.58,2500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.620001,25.74,25.57,25.690001,5600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.690001,25.700001,25.639999,25.639999,7300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.639999,25.700001,25.6,25.700001,12100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.629999,25.715,25.629999,25.700001,4600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.23,25.4,25.129999,25.139999,11300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.139999,25.139999,25.139999,25.139999,600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.280001,25.309999,25.27,25.309999,4800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.309999,25.309999,25.309999,25.309999,1400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.309999,25.309999,25.290001,25.290001,2100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.309999,25.35,25.280001,25.280001,12300
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.280001,25.280001,25.176001,25.176001,1700
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.280001,25.35,25.280001,25.33,6700
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.32,25.32,25.23,25.32,4600
