date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.5,21.700001,21.15,21.450001,5200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.25,21.5,20.67,21,13200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.809999,21.25,20.530001,20.76,16800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.57,21.23,20.209999,20.209999,6900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.209999,20.209999,20.209999,20.209999,1000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.66,21.15,20.190001,20.950001,21200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21,21.15,21,21.15,5800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.040001,21.24,20.73,21.120001,6600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.02,21.309999,20.559999,21.280001,7500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.35,21.35,20.75,21,5800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.049999,21.049999,21.049999,21.049999,800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.1,21.1,20.85,21,6000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.08,21.09,20.620001,20.950001,3700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.93,21.299999,20.83,20.950001,1700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.82,21,20.700001,20.879999,8400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.700001,20.98,20.440001,20.530001,10800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.25,21.25,20.16,21.25,4500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21,21.24,20.75,21.24,5500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.200001,21.200001,21.200001,21.200001,1500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.76,21,20.76,20.879999,2100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.5,21,20.139999,20.74,18600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.52,20.799999,20.07,20.190001,3700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.76,20.35,19.76,20.1,1200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.25,20.25,19.83,20.030001,3000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.83,20.280001,19.57,19.790001,15600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.6,19.6,19.129999,19.299999,9600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.209999,19.5,19.049999,19.299999,6500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.58,19.58,19.58,19.58,600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.559999,19.98,19.41,19.549999,3300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.309999,19.4,18.51,18.92,6800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.27,19.27,19.059999,19.059999,1500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.860001,19.18,18.790001,18.940001,1500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.73,19.129999,18.73,19,2100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.74,19.049999,18.74,18.74,1500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.559999,19.17,18.5,18.75,2600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.52,18.52,18.200001,18.309999,4700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18.379999,18,18.379999,1600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.33,18.33,18.33,18.33,300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.02,18.34,17.280001,18.190001,3400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.02,18.35,17.790001,18.190001,2900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.049999,18.25,17.98,17.98,7300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.9,17.9,17.9,17.9,400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.9,17.9,17.9,17.9,600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.9,17.9,17.9,17.9,0
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.18,18.18,18.18,18.18,300
