date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.76,2.65,2.72,18000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.67,2.76,2.59,2.76,16200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.71,2.59,2.62,25100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.81,2.7,2.75,122900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.93,2.75,2.89,75600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,3.01,2.8,2.84,80300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.97,2.82,2.91,28500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,2.97,2.78,2.94,31500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,2.96,2.82,2.85,12100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,2.84,2.75,2.75,13900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.88,2.75,2.87,6600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,2.92,2.83,2.9,22600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,2.97,2.86,2.9,15200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.87,2.94,2.87,2.9,35400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.9,2.98,2.9,2.91,28800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,3,2.91,2.95,37000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,3,2.94,2.98,27800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,3.01,2.96,3,36700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.01,2.96,2.97,10200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,3,2.91,2.93,10100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3,2.9,2.9,6400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,2.98,2.93,2.96,21100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,2.97,2.86,2.94,10200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,2.97,2.85,2.93,65000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,2.97,2.89,2.95,39200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,2.95,2.9,2.95,17400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,3.02,2.92,3,25000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.1,3.03,3.07,58500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.08,3.08,3.05,3.05,13800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.04,2.88,2.88,18300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,3.02,2.95,2.98,20000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,3.04,2.96,2.97,16400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.02,2.96,2.99,37400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,3.01,2.95,2.95,20600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.01,2.9,2.93,20600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.99,2.78,2.88,25900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,3,2.9,2.99,34400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,3,2.85,2.96,53100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,3,2.92,2.94,50100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,2.99,2.8,2.85,22900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.91,2.85,2.87,15600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.84,2.99,2.84,2.9,15900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.86,3,2.86,2.98,48300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3,2.9,2.91,15600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.02,2.87,2.96,54400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,2.99,2.9,2.94,7500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,2.99,2.92,2.97,9900
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3,2.91,2.91,6900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3,2.91,2.95,8300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,2.96,2.93,2.95,22000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,2.98,2.94,2.98,19200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.02,2.93,3,30300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.01,2.95,2.95,106400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.01,2.92,2.92,12500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,2.98,2.92,2.97,66300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,2.98,2.91,2.93,6500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,2.95,2.91,2.95,17500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,3.01,2.91,2.91,9700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,3.01,2.9,2.91,21100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,2.94,2.85,2.9,44100
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.86,3.14,2.86,3.08,69500
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.12,3.2,3.03,3.2,24800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.18,3.65,3.18,3.48,177500
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.48,3.94,3.38,3.77,126700
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.77,3.87,3.33,3.37,45200
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.32,3.58,3.32,3.5,14000
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.5,3.64,3.47,3.64,7500
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.57,3.76,3.57,3.74,12300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.72,3.75,3.67,3.67,13000
