date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.42,10.42,10.42,10.42,0
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.42,10.42,10.42,10.42,0
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.48,10.48,10.47,10.47,300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.47,10.47,10.47,10.47,0
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.47,10.47,10.47,10.47,0
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.47,10.47,10.47,10.47,0
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.47,10.47,10.47,10.47,0
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.47,10.47,10.47,10.47,0
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.47,10.47,10.47,10.47,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.47,10.47,10.47,10.47,0
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.47,10.47,10.47,10.47,0
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.48,10.5,10.48,10.5,4000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.51,10.51,10.51,10.51,3100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.51,10.51,10.51,10.51,0
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.51,10.51,10.51,10.51,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.51,10.51,10.51,10.51,0
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.51,10.51,10.51,10.51,0
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.51,10.51,10.51,10.51,100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.48,10.48,10.45,10.45,1300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.45,10.45,0
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.457,10.485,10.45,10.45,3700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.45,10.45,0
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.45,10.45,0
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.45,10.45,0
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.45,10.45,0
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.45,10.45,0
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.45,10.45,0
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.45,10.45,0
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,0
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,0
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,0
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,0
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,0
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,1000
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,0
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.44,10.44,10.44,100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.47,10.43,10.47,2400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.465,10.465,10.465,10.465,100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.45,10.43,10.43,2500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,100
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.43,10.43,10.43,10.43,0
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.46,10.46,10.45,10.46,1500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.46,10.46,10.46,10.46,0
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.46,10.46,10.46,10.46,0
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.46,10.46,10.46,10.46,0
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.46,10.46,10.46,10.46,0
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.46,10.46,10.46,10.46,0
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.46,10.46,10.46,10.46,0
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.46,10.46,10.46,10.46,0
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.46,10.46,10.46,10.46,0
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.46,10.46,10.46,10.46,0
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.46,10.46,10.46,10.46,0
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.46,10.46,10.46,10.46,0
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.46,10.46,10.46,10.46,0
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.454,10.454,10.43,10.43,400
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.43,10.43,10.43,10.43,0
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.43,10.43,10.43,10.43,0
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.49,10.49,10.48,10.49,5100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.49,10.49,10.49,10.49,0
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.49,10.49,10.49,10.49,0
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.49,10.49,10.49,10.49,0
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.49,10.49,10.49,10.49,0
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.49,10.49,10.49,10.49,0
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.49,10.49,10.49,10.49,0
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.5,10.5,10.5,10.5,100
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.52,10.52,10.52,10.52,100
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.52,10.52,10.52,10.52,0
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.52,10.52,10.52,10.52,200
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.52,10.52,10.52,10.52,0
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.44,10.44,10.4,10.4,4400
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.4,10.4,10.4,10.4,0
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.4,10.4,10.4,10.4,0
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.4,10.4,10.4,10.4,0
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.4,10.4,10.4,10.4,0
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.4,10.4,10.4,10.4,0
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.44,10.44,10.44,10.44,100
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.44,10.44,10.44,10.44,0
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.44,10.44,10.44,10.44,100
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.44,10.44,10.44,10.44,0
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.45,10.45,10.44,10.45,1400
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.47,10.65,10.47,10.65,6100
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.69,10.71,10.69,10.71,1100
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.71,10.71,10.71,10.71,0
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.61,10.66,10.55,10.6,5000
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.6,10.6,10.6,10.6,0
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.65,10.7,10.65,10.7,2200
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.7,10.7,10.7,10.7,0
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.7,10.8,10.68,10.8,1300
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,200
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,1400
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.8,10.8,10.8,10.8,0
