date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.27,5,5.02,108500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5,5.17,4.932,5.01,188800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.08,5.09,4.92,5.02,128900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.01,5.18,5,5.15,166500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.13,5.51,5.078,5.34,200300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.355,5.16,5.21,163200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.17,5.25,5.07,5.16,197600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.18,5.25,4.997,5.11,210600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.16,5.17,4.9,4.94,145000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.87,4.929,4.635,4.67,236000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.58,4.59,4.34,4.35,298600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.39,4.4,4.27,4.29,281500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.25,4.308,4.17,4.18,331700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.24,4.41,4.16,4.27,615700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.36,4.568,4.25,4.39,369600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.48,4.55,4.3,4.34,272600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.37,4.44,4.27,4.42,178500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.63,4.43,4.63,264400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.69,4.73,4.49,4.56,205700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.54,4.64,4.39,4.42,148500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.46,4.27,4.28,135000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.33,4.42,4.29,4.36,137500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.33,4.36,4.2,4.33,204700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.33,4.33,4.12,4.25,239100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.25,4.42,4.21,4.37,431100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.44,4.44,4.15,4.43,535500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.39,4.59,4.34,4.49,152100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.53,4.75,4.51,4.73,287500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.69,4.94,4.64,4.83,177700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.61,4.71,4.36,4.36,247200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.47,4.498,4.36,4.43,281400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.5,4.81,4.5,4.73,253100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.6,4.63,4.37,4.42,184900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.36,4.43,4.19,4.37,204500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.31,4.46,4.29,4.45,134300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.45,4.54,4.385,4.48,183100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.51,4.51,4.3,4.4,214600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.44,4.62,4.4,4.59,137900
