date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.43,60.689999,58.689999,59.380001,530500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.889999,58.900002,57.66,57.959999,454400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.220001,58.610001,57.57,57.73,326300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.18,58.41,57.009998,58.189999,363300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.310001,59.110001,58.200001,58.849998,360100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.139999,59.130001,58.099998,58.959999,292700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.77,59.27,58.16,59.049999,338900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.790001,59.25,58.189999,59,318400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.610001,59.91,58.25,58.900002,331800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.299999,58.560001,57.060001,57.509998,327000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.77,58.02,56.389999,57.73,328300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.099998,58.5,57.669998,58.41,313000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.580002,58.84,57.450001,58.75,227800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.66,60.34,59.259998,59.389999,372700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.470001,59.740002,57.82,58.119999,334100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.549999,59.310001,58.060001,58.709999,452900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.09,60.169998,59.040001,59.77,449000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.790001,60.240002,59.43,60.099998,272500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.080002,60.259998,59.290001,60.130001,313600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.099998,61.970001,59.790001,60.990002,645200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.759998,60.759998,58.110001,58.259998,447100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.549999,59.560001,58.040001,59.09,427800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.32,59.549999,58.130001,59.16,390100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.509998,60.330002,58.259998,59.810001,497500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.540001,60.220001,59.099998,60.209999,400300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62,68.980003,61.990002,67.940002,974700
