date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.69,3.69,3.56,3.66,3300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.56,3.62,3.55,3.57,2600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.53,3.55,3.33,3.38,20900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.48,3.277,3.41,14900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.263,3.5,3.263,3.452,3100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.37,3.5,3.1,3.1,24000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.245,3.11,3.15,7800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.141,3.141,3.13,3.13,1700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.234,3.234,3.166,3.179,1800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.135,3.05,3.1,6600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.053,3.06,3.01,3.03,4200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.07,3.18,3.05,3.13,3300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.136,3.19,3.136,3.19,2800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.12,3.19,3.12,3.19,2700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.26,3.177,3.18,1500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.19,3.28,3.19,3.28,1800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.22,3.2,3.2,1500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.24,3.04,3.24,4100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.24,3.13,3.216,1000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.197,3.197,3.02,3.07,2600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.03,3.03,3.03,600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.16,3.05,3.16,800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3,3,3,2200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.985,3.03,2.91,2.94,3100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.13,3.02,3.095,6100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.175,3.186,3.091,3.091,2300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.09,3.01,3.01,3800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.03,3,3.03,1000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.1,3.065,3.095,1400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.11,3.03,3.06,4600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.02,3.08,3.02,3.08,2600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.12,3.03,3.06,14500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.24,3.12,3.22,4100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.22,3.17,3.18,3100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.18,3.11,3.13,4400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.182,3.05,3.182,1500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.2,3.12,3.12,700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.173,3,3.11,13600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.22,3.08,3.22,4400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.21,3.23,3.21,3.23,1200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.245,3.245,3.1,3.22,2600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.255,3.31,3.2,3.25,1700
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.25,3.26,3.13,3.13,2800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.23,3.1,3.1,900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.161,3.215,3.15,3.215,800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.12,3.216,3.01,3.071,4700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.11,3.2,3.04,3.2,2800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.4,3.21,3.255,8100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.26,3.2,3.2,7400
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.28,3.32,3.2,3.2,8000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.23,3.1,3.1,3900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.167,3.167,3.12,3.15,1600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.14,3.19,3.105,3.19,23600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.27,3.29,3.15,3.26,2900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.17,3.26,3.17,3.25,3300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.26,3.22,3.24,2600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.24,3.21,3.23,14100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.29,3.2,3.25,16700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.3,3.1,3.18,20600
