date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.459999,25.459999,25.459999,25.459999,0
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.459999,25.459999,25.459999,25.459999,0
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.459999,25.459999,25.459999,25.459999,0
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.200001,25.200001,25.200001,25.200001,400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.200001,25.24,25.200001,25.24,700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.24,25.24,25.24,25.24,100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.24,25.24,25.24,25.24,0
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.24,25.24,25.24,25.24,0
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.24,25.24,25.24,25.24,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.24,25.24,24.42,24.42,200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.43,24.43,24.43,24.43,200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.43,24.43,24.43,24.43,0
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.43,24.43,24.43,24.43,0
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.43,24.43,24.43,24.43,0
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.43,24.43,24.43,24.43,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.43,24.43,24.43,24.43,0
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.84,24.84,24.84,24.84,0
