date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.029999,79.309998,76.150002,77.080002,611000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.599998,77.529999,74.745003,76.400002,568000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.300003,77.709999,75.900002,77.160004,539900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.489998,79.260002,76.245003,79.110001,801300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.989998,84.535004,79.989998,82,985200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.470001,88.261002,81.370003,86.550003,956900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),86.739998,88.25,85.669998,87.160004,594300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87,88.010002,85.878998,87.849998,482900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.669998,89.25,88.059998,88.489998,637000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.650002,89.949997,87.18,89.25,828000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.25,89.379997,87.589996,89.370003,395000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90,91.559998,89.459999,90.809998,511200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.540001,91.440002,88.870003,91.290001,389000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.400002,94.123001,91.75,93.230003,701100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.489998,93.550003,89.129997,92.559998,8922200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.5,93.739998,91.110001,92.029999,2187300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.489998,93.550003,90.669998,90.699997,885100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.900002,92.720001,90.849998,92.519997,546800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.349998,94.239998,92.269997,94.169998,462100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.769997,93.889999,90.089996,91.050003,433500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.459999,92.589996,88.239998,89.029999,671500
