date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.35,32.48,31.33,32.110001,563200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.540001,31.6,31.02,31.16,374900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.549999,31.861,31.549999,31.75,303800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.6,31.917,31.370001,31.610001,333900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.080002,32.880001,31.9,32.77,589600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.41,32.560001,32.259998,32.389999,299300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.43,32.560001,32.130001,32.290001,220300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.620001,31.889999,31.200001,31.889999,711700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.59,31.969999,31.58,31.610001,958700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.889999,30,29.48,29.98,1147200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.17,29.23,28.790001,29.15,940200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.780001,28.780001,28.26,28.719999,1089800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.67,29.01,28.52,28.940001,710700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.43,28.9,28.34,28.68,739100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.040001,28.040001,27.309999,27.959999,1099000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.9,27.98,27.42,27.629999,829600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.93,28.200001,27.790001,28.15,658600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.99,28.139999,27.860001,27.92,593300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.83,28.34,27.73,28.290001,579800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.41,28.42,28.055,28.129999,406500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.08,28.309999,27.58,27.610001,472200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.92,28.25,27.67,28.17,562900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.83,28.030001,27.540001,27.799999,959900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.5,27.74,27.34,27.57,800400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.879999,28.23,27.799999,28.15,709100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.92,27.993999,27.73,27.969999,505500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.77,27.815001,27.5,27.790001,426200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.76,27.879999,27.596001,27.84,483700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.940001,28.01,27.379999,27.49,832100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.76,26.85,26.32,26.43,585300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.780001,28.209999,26.700001,27.59,1174900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.059999,29.15,27.98,28.23,1324700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.450001,29,28.43,28.709999,633200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.9,28.969999,28.684999,28.950001,563700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.639999,28.969999,28.639999,28.950001,500300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.030001,29.190001,28.959999,29.110001,450500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.110001,29.306,29.049999,29.16,663100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.280001,29.459999,29.139999,29.4,893500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.93,29.25,28.85,29.049999,436000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.32,28.34,27.51,27.67,1753300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.190001,28.26,27.754999,27.77,893200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.690001,29.48,28.58,29.290001,551800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.49,28.809999,28.389999,28.51,553400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.84,28.9,28.5,28.75,618500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.92,29.190001,28.860001,28.860001,479200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.24,29.52,29.219999,29.41,254800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.860001,30.309999,29.84,30.299999,492500
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.969999,31.809999,30.959999,31.68,1217400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.18,31.48,31.049999,31.43,930200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.719999,31.879999,31.27,31.34,368500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.26,31.26,30.110001,30.299999,631100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.120001,30.219999,29.684999,29.940001,1007300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.969999,30.01,29.67,29.690001,411200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.5,29.68,29.360001,29.639999,326700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.559999,29.57,29.27,29.440001,286700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.790001,29.93,29.49,29.559999,369800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.9,30.264999,29.83,29.92,358800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.93,30.1,29.889999,29.98,332700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.92,31.02,30.67,30.83,538500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.5,30.629999,30.110001,30.629999,319400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.469999,30.559999,29.84,29.91,361400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.91,30.34,29.700001,30.27,362300
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.9,30.309999,29.75,29.959999,281700
