date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.040001,53.900002,52.889999,53.16,801200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.380001,52.810001,51.509998,51.93,1096200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.689999,53.240002,51.599998,52.939999,1951900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.689999,53.540001,52.48,52.959999,1272900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.130001,53.860001,52.689999,53.619999,1522700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.310001,54.720001,53.259998,53.84,1006600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.02,54.439999,53.470001,54.400002,894200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55,57.369999,54.18,56.169998,3829900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.549999,57.389999,56.060001,56.220001,1209000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.82,56.610001,54.779999,55.360001,1187300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.93,55.57,54.400002,54.919998,1419900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.259998,55.869999,54.689999,55.709999,1823700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.939999,56.700001,55.419998,56.52,1787500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.080002,57.459999,55.869999,56.029999,1627900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.380001,56.380001,54.299999,54.59,980900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.040001,55.84,53.82,53.990002,1223700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.43,54.509998,53.240002,53.740002,980000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.18,54.43,53.540001,53.75,745200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.450001,54.580002,53.450001,54.540001,737500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.369999,54.5,53.82,53.900002,548600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.75,54.5,52.73,52.790001,1721300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.75,53.029999,51.950001,52.48,1312800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.029999,52.259998,51.259998,51.830002,1151300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.549999,52.119999,51.029999,51.959999,1043300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.169998,52.950001,51.849998,52.709999,931100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.900002,53.18,52.25,52.84,532100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.529999,52.73,52,52.48,479800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.470001,52.849998,51.98,52.360001,547500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.259998,53.040001,51.950001,52.299999,956600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.189999,52.34,51.099998,52.150002,1361500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.5,52.869999,51.779999,52.75,1114400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.029999,53.619999,52.900002,53.549999,873100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.400002,54.509998,53.009998,53.82,962000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.57,54.419998,52.959999,54.16,1578600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.560001,56.66,52.610001,55,2790000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55,56.119999,54.549999,55.259998,1032900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.189999,56.380001,54.830002,56.290001,1244400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.200001,56.880001,55.68,55.91,1145100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.91,57.380001,55.68,56.43,1462100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.98,56.259998,54.09,54.459999,936500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.689999,55.009998,53.830002,53.990002,1314800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.77,54.75,53.189999,54.450001,631600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.529999,55.240002,54,55.200001,848200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.099998,55.220001,53.41,53.68,797400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.82,54.700001,53.73,54.490002,661500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.970001,55.310001,54,54.380001,714000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.490002,55.799999,54.290001,55.360001,989700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.130001,55.66,54.279999,55.099998,853100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.779999,56,54.34,55.290001,672000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.360001,56,55.07,55.349998,611100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.169998,55.310001,51.209999,51.869999,2940000
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.419998,52.5,51.029999,51.400002,2682400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.470001,53.580002,51.580002,51.650002,1695000
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.75,52.029999,51.560001,51.98,970400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.970001,52.16,51,51.830002,775600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.220001,52.509998,51.380001,52.130001,960300
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.599998,52.73,51.869999,52.02,858700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.119999,52.259998,50.869999,51.150002,833100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.41,51.860001,50.91,51.619999,825700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52,53.259998,51.880001,53.060001,874400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53,53.98,52.91,53.639999,764300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),53.779999,54.040001,52.470001,53.130001,1415800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),52.52,52.599998,51.48,51.82,767600
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.700001,52.709999,51.279999,52.34,1159100
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),52.77,52.869999,51.130001,51.220001,1127000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.02,51.869999,50.950001,51.830002,878900
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),52.080002,53.400002,51.860001,53.169998,1286200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),53.360001,53.73,53.130001,53.68,679900
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),52.889999,53.509998,52.439999,53.110001,617300
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),53.790001,54.16,52.330002,52.470001,757100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.939999,52.389999,51.32,51.669998,731400
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),52.220001,52.84,51.580002,51.82,757000
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.740002,52.02,50.75,51.790001,1091500
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.740002,52.040001,51.099998,51.200001,1160600
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.169998,51.540001,50.650002,50.75,969600
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.029999,51.560001,49.939999,50.349998,1058600
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),50.66,51.580002,50.459999,51.25,967600
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.52,51.650002,51.02,51.27,900500
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.080002,51.990002,51.049999,51.439999,883800
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.34,51.400002,50.02,50.369999,613300
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),50.599998,51.07,50.549999,50.549999,545200
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),50.630001,51.27,50.599998,50.610001,580000
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),50.32,50.75,49.77,49.790001,519900
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),49.599998,51.290001,49.330002,50.43,897300
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),50.75,50.75,50.049999,50.48,708000
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),51.189999,51.959999,50.889999,51.950001,1062000
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),52.48,52.560001,50,50.27,1755900
