date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.15,28.459999,27.52,28.42,215700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.43,28.690001,27.83,28.139999,180100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.25,29.559999,28.25,29.209999,172000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.139999,29.18,26.790001,27.01,309600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.07,27.690001,26.809999,27.299999,207200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.99,26.99,25.209999,25.6,291200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.1,25.1,22.77,23.719999,534600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.620001,23.9,23.200001,23.290001,270600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.190001,23.24,21.74,21.92,322500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.799999,21.85,20.74,20.790001,365900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.530001,20.77,19.870001,20.049999,223700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.07,20.16,19.540001,20.139999,207000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.139999,20.15,19.25,19.49,181500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.440001,20.34,19.35,20.25,207000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.1,20.33,19.65,19.65,132100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.969999,20.25,19.33,19.34,154600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.549999,19.98,19.42,19.940001,140100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.040001,20.16,19.27,19.469999,134300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.549999,19.799999,19.280001,19.709999,111100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.68,19.68,18.98,19.280001,104100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.309999,19.450001,18.6,18.610001,136500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.559999,19.280001,18.5,19.25,133400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.15,19.719999,19.030001,19.040001,172400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.860001,18.860001,18.280001,18.49,103400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.540001,18.620001,18.23,18.43,119400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.559999,18.76,18.23,18.68,116200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.68,19.02,18.66,18.889999,72000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.85,18.9,18.309999,18.49,123700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.5,18.969999,18.5,18.790001,120400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.459999,18.6,18.09,18.24,136300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.59,18.65,18.17,18.610001,101600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.74,19.07,18.639999,18.74,133600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.66,18.700001,18.02,18.309999,157900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.99,18.26,17.58,17.780001,184900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.75,18,17.65,17.959999,104800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.959999,18.049999,17.559999,17.59,131300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.49,17.77,17.120001,17.690001,112000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.6,18,17.52,17.889999,101100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.91,18.27,17.9,17.940001,93300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.889999,18.09,17.719999,18.01,78700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.24,18.5,18.059999,18.24,111000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.280001,18.52,18.1,18.360001,107900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.33,18.67,18.200001,18.450001,86400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.42,18.610001,18.139999,18.219999,108800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.35,18.85,18.26,18.82,102500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.790001,19.41,18.639999,18.74,114500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.120001,19.35,18.91,18.93,150200
