date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.08,9.6,8.92,9.36,4100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.6,9.6,8.6,8.76,5255
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,9.6,8.8,9.2,7780
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.6,9.6,9.2,9.48,8805
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.6,14.4,9.2,11.2,42208
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.36,11.36,9.2,9.32,19578
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.28,9.84,8.44,8.8,6290
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,9.2,8.6,8.68,5033
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.64,9,8.6,8.72,4315
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,9.8,8.32,8.64,6035
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.68,8.8,8.08,8.52,4975
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.44,8.6,8,8.28,3973
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.8,8,8.36,3070
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.88,8.2,8.6,4303
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,9.4,8.2,9.12,8350
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.36,9.52,9.08,9.32,9178
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.92,9.2,8.8,9.12,4450
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,9.52,8.8,9.32,2700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,13,9.2,10.84,114118
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10,12.12,9.4,10.72,75013
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.44,9.28,7.6,7.6,88188
