date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.61,9.61,9.61,9.61,300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.61,9.61,9.61,9.61,0
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.55,9.55,9.55,9.55,300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.27,9.3,9.27,9.29,500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.29,9.29,9.29,9.29,0
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.29,9.29,9.03,9.1,2400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.6,9.37,9.53,5200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.5,9.5,9.5,9.5,300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.56,9.56,9.2,9.36,10000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.23,9.23,9.23,9.23,900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.54,9.6,9.02,9.04,9100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.04,9.04,9.04,9.04,0
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.03,9.11,9.02,9.07,2300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.1,9.1,8.87,8.87,600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.94,9,8.86,8.96,8300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.72,9.02,8.72,8.95,6000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9,9,9,500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.94,8.94,8.94,8.94,1500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.05,9.05,9.01,9.03,2700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.96,9.18,8.95,9.07,10100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.99,9.11,8.98,8.98,4700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.01,9.08,9.01,9.02,3200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.05,9.05,8.97,8.98,5900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.95,9.07,8.91,9.07,6000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.84,9.05,8.78,9.04,16700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.04,9.04,9.01,9.04,1700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9.15,9,9.15,600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.1,9.17,9.1,9.17,1200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.26,9.26,9.11,9.13,900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.02,9.02,8.92,8.94,2900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.99,9.08,8.99,9.08,1000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.1,9.13,9.08,9.12,3300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.16,9.16,9.11,9.11,1300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.14,9.14,9.06,9.13,2000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.16,9.17,9.15,9.15,600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.15,9.25,9.15,9.25,10400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.37,9.27,9.28,700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.28,9.28,9.28,9.28,0
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.19,9.57,9.19,9.53,14500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.54,9.54,9.54,9.54,500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.26,9.57,9.25,9.56,5500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.41,9.54,9.26,9.54,1200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.51,9.53,9.51,9.53,1000
