date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.559998,69.949997,66.25,67.059998,19900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.099998,68.519997,66.099998,67.309998,22100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.309998,68.25,66.610001,66.970001,18200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.760002,68.440002,66.019997,68.440002,34800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.699997,72.949997,68.440002,72.089996,27000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.599998,72.449997,70.089996,71.019997,17100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.699997,72,70.370003,71.709999,16800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.709999,73.129997,70.410004,73.129997,14000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.690002,73.599998,71.220001,73.099998,14500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73,73,70.529999,70.529999,9800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.779999,70,67.800003,69.199997,15200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.199997,69.349998,67.800003,68.580002,23400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.510002,69,67.459999,68.349998,17100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.099998,69.699997,67.93,68.489998,10500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.989998,70.900002,68.199997,68.209999,27300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.120003,69.529999,67.470001,67.629997,25400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.599998,68.839996,66.470001,67.239998,29300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.650002,67.82,66.050003,66.050003,21200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.050003,66.610001,65.610001,65.739998,31000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.739998,66.879997,64.599998,64.599998,22000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.25,65.639999,64.050003,64.82,45800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.639999,65.699997,63.959999,64.980003,49700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65,65.519997,64.220001,64.720001,17700
