date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.860001,76.18,72.82,73.610001,179800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.059998,73.165001,69.849998,69.889999,207400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.309998,72.095001,70.169998,71.019997,221000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.330002,71.153,69.339996,69.629997,165700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.720001,70,68.75,69.040001,186800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.169998,69.860001,67.089996,68.650002,193800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.260002,73.099998,69.230003,73.050003,284900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.989998,73.75,71.690002,72.779999,249400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.550003,74.459999,72.535004,72.849998,119600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.160004,73.5,71.644997,73.43,130600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.660004,74.800003,72.489998,74.699997,136400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.389999,75.910004,73.014999,74.574997,145300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.120003,76.080002,73.790001,75.470001,170800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.269997,77.528,75.849998,77.440002,211200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.370003,78.370003,76.290001,77.639999,112800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.599998,79.485001,76.544998,78.360001,254900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.800003,79.269997,77.510002,78.599998,210300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.260002,79.739998,77.635002,78.150002,121400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.900002,79.610001,77.900002,79.339996,139400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.349998,79.43,78.029999,79.339996,139300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.269997,80.510002,77.059998,77.199997,286300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.199997,78.949997,75.879997,78.449997,198600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.459999,79.150002,77.150002,77.769997,96900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.110001,80.269997,78,78.129997,370000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.089996,79.540001,77.629997,79.099998,131100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.760002,79.760002,78.220001,78.769997,168200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.739998,80.690002,78.07,80.110001,160700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.360001,83.224998,79.519997,82.940002,212800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.129997,85.620003,83.029999,85.089996,211100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),84.050003,85.75,82.5,84,222900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85.309998,89.830002,84.510002,89.809998,206600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.160004,92.760002,89.809998,91.300003,263000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.879997,92.080002,90.18,91.790001,212200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.879997,91.157997,88.089996,88.099998,235400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.959999,88.910004,86.309998,87.309998,240600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.57,74.5,60,71.669998,1326200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.480003,76.245003,69.822998,75.540001,727000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.919998,77,72.610001,74.720001,408800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.709999,74.855003,72.010002,74.290001,385800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.099998,76.099998,74.235001,76,344500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.830002,77.75,74.129997,75.650002,458100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.650002,75.800003,70.794998,74.849998,519800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.389999,74.580002,72.995003,73.940002,400400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.879997,76.745003,73.379997,76.589996,294200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.519997,80.519997,77.305,80.129997,257600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.5,81.309998,77.57,81.099998,148300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.730003,82.150002,79.290001,79.290001,153800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.809998,79.300003,75.519997,75.610001,173700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.620003,77.040001,75.489998,75.910004,159800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.599998,76.510002,74.879997,75.75,111200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.330002,76.459999,73.650002,73.790001,165400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.220001,75.419998,72.980003,74.980003,377200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.580002,75.519997,74.084999,75.209999,160900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.110001,76.190002,74.589996,75.129997,152700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.839996,76.620003,73.805,76.059998,140700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.870003,75.870003,71.580002,72.5,444500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.75,72.989998,70,70.739998,235100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.290001,71.290001,69.129997,69.849998,258100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.650002,69.650002,62.77,62.939999,733600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.509998,65.050003,62.34,64.989998,664500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.759998,69.5,63.759998,66.620003,578300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),66.93,69.099998,65.970001,68.870003,231500
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),67.989998,67.989998,65.440002,66.330002,320000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),65.760002,66.790001,62.639999,62.790001,394700
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),63.16,63.490002,59.904999,60.43,401000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.490002,61.549999,59.299999,59.529999,324800
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.080002,61.049999,59.599998,60.029999,250000
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.330002,61.068001,59.360001,60.610001,220800
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.77,59.389999,55.540001,58.869999,545900
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.889999,59.689999,57.75,59.119999,272500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.68,59.349998,57.41,58.080002,258200
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.09,58.145,56.25,56.900002,300300
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.889999,57.395,56.080002,56.450001,232600
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.189999,58.310001,55.849998,56.5,387000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.630001,57.337002,55.965,56.700001,392300
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.48,58.389999,56.195,57.810001,294100
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.470001,59.18,57.32,58.939999,192700
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.209999,60.310001,59.169998,60.040001,247700
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60,60.580002,59.630001,60.200001,397800
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),55.240002,55.790001,50.470001,53.16,1371600
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),53,55.720001,52.799999,55.5,788700
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.139999,58.139999,55.360001,56.849998,550100
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.27,57.759998,55.689999,56.91,448500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.130001,60.639999,57.82,59.560001,674200
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60,60.174999,58.689999,59.049999,272400
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.290001,59.650002,58.34,58.630001,418300
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.439999,61.389999,58.384998,60.279999,443500
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.299999,62.279999,60.150002,61.009998,346200
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.34,61.139999,58.880001,59,310000
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.689999,61.560001,58.639999,61.419998,319900
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.400002,62.799999,60.299999,60.759998,272000
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.810001,61.990002,60.240002,60.34,277300
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.27,62.310001,60.740002,60.869999,342600
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.630001,61.856998,60.470001,60.669998,241200
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.68,63.82,60.68,63.470001,383200
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),63.459999,63.564999,62.77,63.380001,146800
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),63.369999,65.199997,63.119999,64.370003,284500
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),64.57,65.089996,64,64.690002,187600
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),64.669998,64.889999,63.16,63.709999,300500
