date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.71,1.65,1.71,12000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.72,1.64,1.66,6700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.7,1.7,1.6,1.66,6100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.7,1.7,1.65,1.67,1900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.69,1.62,1.64,4600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.56,1.66,1.55,1.62,24600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.66,1.63,1.64,5500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.59,1.64,1.5,1.56,10400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.62,1.64,1.57,1.62,12200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.63,1.53,1.61,21800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.59,1.61,1.57,1.59,5300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.58,1.53,1.55,1100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.56,1.53,1.56,5900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.52,0.85,1.15,219300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.3,1.03,1.17,57200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.3,1.2,1.3,24000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.34,1.34,1.23,1.29,9100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.29,1.29,1.15,1.22,8900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.29,1.2,1.23,3800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.27,1.17,1.27,2300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.25,1.2,1.2,2400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.26,1.21,1.22,9100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.24,1.12,1.17,18600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.24,1.15,1.23,11200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.26,1.2,1.26,9200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.2,1.18,1.2,1600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.25,1.15,1.22,8600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.26,1.16,1.23,3600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.26,1.16,1.22,5100
