date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.5,21.85,21.5,21.59,12200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.540001,21.889999,21.370001,21.59,16900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.783001,21.938,21.547001,21.549999,22100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.57,21.9,21,21.15,32700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.313,21.459999,21.120001,21.379999,12000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.299999,21.52,21.200001,21.450001,6500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.4,21.629999,21.360001,21.360001,16100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.299999,21.459999,21.200001,21.27,10300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.450001,21.9,21.440001,21.9,11900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.969999,21.969999,21.76,21.950001,15300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.924,21.959999,21.700001,21.940001,7600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.93,21.93,21.684,21.76,9700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.9,21.91,21.75,21.805,4500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.98,22.299999,21.827999,22.299999,17200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.309999,22.360001,22.188,22.191999,6500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.299999,22.299999,22.1,22.27,12500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.26,22.440001,22.129999,22.4,23200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.35,22.690001,22.280001,22.690001,18300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.719999,22.82,22.610001,22.82,8400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.940001,23.110001,22.74,23.110001,9400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23,23.07,22.799999,23.07,7400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.15,23.15,22.424999,22.959999,18400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.49,22.98,22.43,22.59,11700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.6,22.77,22.27,22.27,5600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.26,22.469999,22.18,22.43,6400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.360001,22.469999,22.299999,22.450001,7600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.48,22.48,22.17,22.459999,6500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.450001,22.809999,22.370001,22.809999,17300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.76,22.884001,22.75,22.870001,9300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.610001,22.74,22.459999,22.540001,18600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.379999,22.75,22.15,22.6,15200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.65,22.65,22.41,22.434999,4800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.370001,22.601,22.360001,22.5,7000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.379999,22.620001,22.344999,22.620001,9300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.452999,22.565001,22.17,22.25,13300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.33,22.549999,22.27,22.4,5300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.360001,22.67,22.27,22.67,9800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.6,22.620001,22.5,22.620001,9400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.459999,22.65,22.33,22.57,8500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.49,22.528,22.4,22.469999,2300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.59,22.59,22.41,22.540001,18600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.6,22.65,22.42,22.450001,11100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.58,22.620001,22.35,22.35,12100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.35,22.584,21.99,22.01,42000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.01,22.4,21.4,21.639999,28900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.841999,21.9,21.620001,21.73,10900
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.879999,22.09,21.780001,21.85,20400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.940001,22.120001,21.870001,22.1,9100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.1,22.139999,21.92,22.129999,8200
