date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),269.5,275.429993,268.799988,275.320007,1065800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),273.929993,275.589996,270.769989,272.079987,1158700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),271.859985,276.75,271.130005,273.100006,832900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),272.869995,278.850006,272.820007,275.839996,822700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),276.850006,281.690002,276.570007,281.48999,834700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),280.279999,281.75,278.850006,279.329987,764400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),278.950012,283.100006,278.26001,282.5,890900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),282.5,283.950012,281.279999,282.529999,869800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),284.649994,287.230011,280.940002,282.190002,899900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),280.660004,282.209991,279.410004,280.820007,841600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),278.649994,281.940002,276.5,277.880005,737400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),279.01001,285.869995,278.5,284.820007,1316700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),286.089996,288.089996,283.420013,287.769989,1212200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),288.589996,290.970001,287.029999,288.309998,1769000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),288.75,291.359985,283.670013,284.910004,1992000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),285.149994,286.48999,278.679993,278.929993,1435700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),280.290009,286.209991,279.929993,286.019989,1438800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),287.48999,288.200012,281.940002,283.429993,929900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),282.420013,287.190002,281.609985,286.730011,1742800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),300,304.950012,296.119995,301.589996,2483200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),303.420013,309.329987,302.390015,304.899994,2555800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),303.350006,314.820007,303.350006,314.660004,1739800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),313,313,307.149994,309.420013,1280100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),308.790009,312.51001,308.089996,310.619995,861900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),310.630005,312.48999,304.970001,306.820007,1261300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),307.660004,310.179993,306.23999,307.279999,890800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),307.059998,307.709991,302.109985,305.459991,899500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),305.619995,307.51001,305.48999,306.320007,770400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),306,311.480011,303.470001,310.160004,1367700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),306.040009,308.01001,301.829987,304.540009,996800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),306.149994,307.350006,303.820007,305.429993,936100
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),306.890015,309.309998,305.809998,307.660004,839700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),307.23999,311.350006,306.619995,308.549988,869100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),306.679993,309.859985,306.679993,308.579987,774900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),307.5,311.829987,307.5,311.619995,572800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),311.019989,318.299988,309.570007,312.839996,1618000
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),313.75,316.980011,313.75,315.359985,787200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),316,316.5,313.079987,313.200012,858300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),312.890015,315,311.589996,314,620100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),314.619995,316.720001,309.73999,312.059998,738700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),313.959991,314.029999,309.570007,311.700012,1479200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),311.589996,313.98999,308.470001,311.980011,1212000
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),312.549988,314.700012,310.720001,314.079987,750600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),315,317.859985,312.540009,315.540009,987400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),317.299988,324.170013,316.75,323.399994,1914000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),325.309998,328.690002,324.290009,324.660004,966800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),324.450012,328.73999,324.450012,325.369995,708700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),323.670013,325.040009,317,321.25,1043900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),320.75,326.230011,319.089996,323.549988,1048700
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),323.75,325.200012,321.230011,321.899994,969700
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),321.73999,325.049988,319.25,324.779999,1058200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),318.899994,323.670013,318.899994,321.970001,1231000
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),321.970001,328.170013,321.700012,327.170013,829500
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),328.5,330.720001,327.700012,330.480011,916800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),330.25,331.399994,328.570007,328.859985,828200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),329.230011,334.029999,328.570007,328.850006,1041100
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),328.75,330.690002,327.459991,329.940002,710100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),330,331.570007,327.26001,327.320007,755700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),326.75,330.369995,326.200012,327.709991,891300
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),331.019989,332.579987,329.459991,331.690002,1032000
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),332.76001,334.48999,330.73999,333.529999,812700
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),332.320007,332.529999,327.679993,330.109985,850500
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),329.040009,329.640015,325.529999,329.350006,904600
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),329.119995,332.660004,328.950012,332.200012,791700
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),334.5,335.829987,324.51001,325.170013,749500
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),326.220001,329.549988,326.220001,328.799988,604400
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),326.48999,329.399994,325.079987,328.019989,1063600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),329,329.429993,325.290009,328.890015,667200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),326.25,329.23999,324.630005,327.76001,735200
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),329.26001,329.519989,324.209991,327.25,643400
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),326.160004,329.109985,320.640015,322.820007,994900
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),327.730011,329.929993,321.179993,322.630005,731900
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),323.359985,323.359985,311.899994,313.890015,1623100
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),315.480011,315.549988,310.149994,311.029999,1511000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),303.01001,304.609985,292.970001,297,2767400
