date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.24,1.27,1.2,1.2,3100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.25,1.17,1.2,5600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.155,1.2,1.11,1.2,3200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.2,1.2,1.2,300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.2,1.11,1.13,17500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.14,1.11,1.14,5800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.14,1.15,1.11,1.145,3400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.14,1.1,1.1,42200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.204,1.15,1.18,15200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.2,1.15,1.16,2800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.16,1.1,1.16,28100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.16,1.143,1.149,2800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.23,1.1,1.1,15100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.1,1.11,1.1,1.11,3200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.18,1.1,1.11,4500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.1,1.15,1.1,1.15,2300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.13,1.1,1.1,23600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.1,1.115,1.1,1.1,2300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.13,1.12,1.12,1300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.15,1.1,1.15,12400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.165,1.15,1.15,2700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.16,1.15,1.16,4400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.1,1.16,1.1,1.16,2700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.18,1.12,1.158,1600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.18,1.11,1.12,7300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.14,1.11,1.14,3100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.145,1.145,1.12,1.12,1300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.18,1.11,1.18,12200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.18,1.11,1.13,6000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.117,1.13,1.117,1.12,2000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.2,1.11,1.2,27100
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.19,1.12,1.143,2700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.175,1.18,1.175,1.175,1400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.154,1.12,1.12,8400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.12,1.12,1.12,1200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.18,1.12,1.18,7000
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.157,1.28,1.155,1.18,63800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.26,1.44,1.215,1.379,21400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.46,1.37,1.46,3200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.469,1.55,1.44,1.44,13500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,1.6,1.47,1.47,4100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.601,1.453,1.53,80700
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,1.77,1.6,1.66,39500
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.76,1.76,1.48,1.57,6500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.712,1.82,1.593,1.63,6900
