date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.440002,67.139999,66.400002,66.620003,1580200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.199997,66.629997,65.889999,65.910004,1534500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.400002,66.589996,66.139999,66.269997,917800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.199997,66.260002,65.370003,65.57,1485800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.379997,65.93,64.889999,65.919998,1993100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.099998,65.379997,64.730003,64.82,1683000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.209999,65.940002,65.150002,65.349998,1956600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.150002,65.449997,64.739998,65.379997,1669200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.309998,65.989998,65.239998,65.580002,1986900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.989998,65.989998,61.130001,61.18,9197700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.610001,59.610001,55.439999,55.59,15817200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.619999,57.919998,56.279999,56.52,13162000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.5,56.5,55.110001,55.84,7124500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.75,57.040001,55.75,56.099998,3518200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55,55.82,53.470001,53.970001,9515100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.41,56.099998,54.540001,54.799999,7521300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.650002,56.540001,54.610001,56.43,6113800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.040001,57.290001,56.299999,56.610001,4716900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.59,56.75,55.02,55.360001,5148300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.23,55.82,54.700001,55.720001,3700100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.77,57.060001,55.470001,55.490002,3203600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.830002,57.400002,55.799999,56.66,4239400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.860001,55.889999,54.650002,54.799999,3459700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54,55.759998,54,55.470001,4601000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.450001,56.119999,55.349998,56.049999,3319400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.619999,55.869999,55.040001,55.630001,2304600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.77,54.950001,53.52,53.619999,4547000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.880001,54.009998,53.41,53.75,3722900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.23,53.259998,52.599998,53,3111500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.639999,52.650002,52.16,52.360001,4612100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.77,52.939999,52.310001,52.779999,3169200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.560001,54.5,53.509998,54.189999,2832700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.189999,54.220001,53.360001,53.799999,2569000
