date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),259.079987,261.420013,259,260.109985,173100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),260,260,256.25,256.299988,276000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),257.529999,259.059998,255.970001,256.320007,223600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),254.899994,254.899994,248.649994,252.5,637100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),250.839996,255.429993,250,255.360001,265600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),254.210007,254.210007,252.520004,253.240005,128000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),253.119995,254.990005,252.369995,252.820007,155100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),252.279999,252.279999,248.779999,250.630005,190500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),253.270004,254.779999,251.740005,254.679993,204800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),253.970001,256.130005,252.279999,255.179993,214200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),253.669998,258.380005,253.669998,254.809998,205600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),255.660004,260.299988,254.369995,260.190002,308000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),261.149994,261.149994,255.360001,256.230011,287500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),257.109985,259.320007,255.929993,256.769989,234700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),256.98999,258.119995,254.539993,255.809998,175600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),256,257.899994,252.990005,253.639999,280700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),254.160004,254.639999,251.759995,254.399994,261100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),255.470001,256.709991,254.089996,255.649994,387200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),256.329987,258.589996,255.720001,258.589996,374100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),258.589996,260.619995,257.459991,260.320007,306700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),261.209991,263,257.980011,258.920013,443800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),264,268.51001,254.190002,267.809998,778000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),266.079987,269.329987,263.359985,268.5,324200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),266.269989,267.769989,263.01001,265.929993,247600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),265.779999,267.529999,265.019989,266.220001,392800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),266.619995,275.850006,266.299988,274.73999,472900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),274.559998,275.390015,270.170013,272.130005,260600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),272.720001,274.320007,271.01001,273.899994,197000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),273.980011,276.73999,273.980011,275.73999,160300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),274.420013,277.109985,273.390015,275.109985,312900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),276.929993,280.709991,276.48999,280.309998,264500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),281.359985,285.119995,281.350006,284.98999,300900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),284.640015,287.329987,283.339996,285.089996,263200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),285.51001,288,284.570007,284.799988,255800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),285.880005,288.679993,285.190002,288.130005,234900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),287.450012,287.73999,284.48999,287.290009,199900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),287.880005,289.5,287.329987,288.140015,181400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),288.73999,289.880005,286.959991,288.329987,218700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),287.790009,289.679993,285.790009,289.48999,201800
