date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.529999,150.509995,146.589996,147.850006,133200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),144.970001,145.649994,141.289993,143.5,155900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),144,145.690002,140.850006,140.929993,166500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.710007,141.979996,137.330002,138.520004,155200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.899994,142.059998,137.059998,141.929993,102600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.970001,140.339996,137.020004,139.440002,109300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.009995,140.449997,137.369995,140.369995,108600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.029999,140.710007,138.160004,140.240005,133300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),142.949997,143.190002,139.539993,140.429993,105900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.610001,140.880005,137.610001,140.520004,120500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.669998,141.199997,137.669998,139.550003,201200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.139999,142.190002,139.320007,142.020004,146300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),142.350006,143.429993,139.009995,143.259995,176300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),144.889999,147.179993,144.410004,146.169998,136100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),148.75,149.639999,144.850006,145.059998,92900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.649994,147.649994,141.850006,142.669998,102100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.100006,156.589996,146.440002,152.149994,315000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),152.25,154.050003,150.240005,151.339996,132700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.710007,154.199997,151.710007,153.649994,149600
