date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.09,33.02,32.040001,32.799999,3226600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.900002,33.02,32.5,32.599998,3092400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.529999,32.68,32.16,32.32,2851000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.240002,32.470001,31.92,32.16,1842100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.98,32.240002,31.809999,32.080002,2265600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.940001,32.360001,31.76,32.23,2410800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.23,32.27,31.799999,31.889999,2736300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.93,32.02,31.620001,31.77,3559900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.68,31.85,31.5,31.809999,1883500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.92,31.940001,31.18,31.32,2227500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.139999,31.370001,31.01,31.209999,2469000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.99,31.120001,30.73,31.08,2544000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.129999,31.129999,30.48,30.639999,2945900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.6,30.610001,30.15,30.35,3103000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.530001,30.719999,30.190001,30.719999,3500500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.73,30.85,30.4,30.4,2109200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.48,30.709999,30.24,30.42,3004100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.6,31.120001,30.6,30.99,2519000
